epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26193,2.48802,3.37012,2.35,0.17473,0.13708,0.10415,0.04016,2.42233,2.79529,2.39096,0.00023654,0.00023654,0.00023654
2,13.853,1.75509,2.39587,1.85796,0.40954,0.30235,0.26669,0.1144,2.11186,2.14969,2.07044,0.000469842,0.000469842,0.000469842
3,20.2756,1.51693,2.05274,1.67339,0.53067,0.3646,0.40452,0.18158,1.96526,1.90793,1.97341,0.000698432,0.000698432,0.000698432
4,26.6991,1.41989,1.87258,1.58148,0.58184,0.4172,0.43725,0.19081,1.96324,1.81688,1.89747,0.000692794,0.000692794,0.000692794
5,33.1432,1.35244,1.74394,1.51951,0.62654,0.43872,0.46569,0.22152,1.85279,1.70185,1.81851,0.000685726,0.000685726,0.000685726
6,39.5396,1.32971,1.67807,1.48308,0.65143,0.48583,0.52852,0.25192,1.81284,1.55505,1.78131,0.000678657,0.000678657,0.000678657
7,45.8954,1.27878,1.58644,1.45285,0.67078,0.45784,0.51805,0.23845,1.87375,1.58814,1.82222,0.000671588,0.000671588,0.000671588
8,52.2237,1.26033,1.54748,1.43805,0.72128,0.49419,0.56403,0.26468,1.799,1.48735,1.75688,0.00066452,0.00066452,0.00066452
9,58.6207,1.22852,1.47877,1.40951,0.71462,0.50879,0.57301,0.27963,1.78375,1.42718,1.72374,0.000657451,0.000657451,0.000657451
10,65.0184,1.21248,1.43517,1.38662,0.72572,0.49882,0.56204,0.26444,1.80168,1.50203,1.75048,0.000650383,0.000650383,0.000650383
11,71.3079,1.19219,1.39711,1.37523,0.78011,0.51881,0.60153,0.28591,1.77246,1.39834,1.74042,0.000643314,0.000643314,0.000643314
12,77.6435,1.17848,1.35912,1.36074,0.80282,0.52079,0.60903,0.30518,1.73176,1.36512,1.7016,0.000636245,0.000636245,0.000636245
13,83.9799,1.16731,1.34635,1.34885,0.80556,0.53078,0.61825,0.29722,1.7751,1.37079,1.72795,0.000629177,0.000629177,0.000629177
14,90.3296,1.15281,1.31473,1.3383,0.76571,0.55707,0.62387,0.31212,1.74225,1.36007,1.69233,0.000622108,0.000622108,0.000622108
15,96.6789,1.14757,1.28675,1.329,0.80224,0.54195,0.63358,0.32199,1.70596,1.33587,1.66463,0.00061504,0.00061504,0.00061504
16,103.064,1.12553,1.24894,1.31365,0.75256,0.56353,0.63354,0.30315,1.72127,1.29443,1.69042,0.000607971,0.000607971,0.000607971
17,109.356,1.11653,1.25097,1.30862,0.79105,0.57961,0.64723,0.35009,1.61322,1.2525,1.60333,0.000600902,0.000600902,0.000600902
18,115.702,1.12142,1.23081,1.30791,0.75708,0.58417,0.63924,0.33107,1.64304,1.26676,1.61247,0.000593834,0.000593834,0.000593834
19,122.089,1.12325,1.20566,1.29755,0.8087,0.57777,0.65252,0.35149,1.60467,1.22118,1.59086,0.000586765,0.000586765,0.000586765
20,128.494,1.1055,1.19857,1.29367,0.82765,0.57637,0.65335,0.34668,1.62032,1.19831,1.59425,0.000579697,0.000579697,0.000579697
21,134.838,1.09675,1.18011,1.28729,0.75837,0.60421,0.66293,0.34025,1.65673,1.18414,1.62119,0.000572628,0.000572628,0.000572628
22,141.157,1.09169,1.16055,1.27863,0.77335,0.6137,0.67263,0.35192,1.62857,1.17051,1.60244,0.000565559,0.000565559,0.000565559
23,147.682,1.08043,1.14619,1.27616,0.81261,0.59655,0.67124,0.34629,1.6299,1.19014,1.6072,0.000558491,0.000558491,0.000558491
24,154.195,1.07401,1.13767,1.26448,0.78708,0.60404,0.67364,0.34719,1.62953,1.16051,1.59625,0.000551422,0.000551422,0.000551422
25,160.528,1.06807,1.11853,1.26572,0.77664,0.64055,0.6824,0.3552,1.60496,1.13354,1.57931,0.000544354,0.000544354,0.000544354
26,166.877,1.06084,1.11284,1.25572,0.75982,0.62663,0.67574,0.34779,1.63222,1.12928,1.5838,0.000537285,0.000537285,0.000537285
27,173.201,1.05946,1.10882,1.25841,0.79093,0.60096,0.67806,0.36256,1.56597,1.11332,1.55285,0.000530216,0.000530216,0.000530216
28,179.539,1.05981,1.09029,1.25177,0.80716,0.6174,0.68622,0.37515,1.54652,1.08041,1.54255,0.000523148,0.000523148,0.000523148
29,185.883,1.05467,1.08202,1.24826,0.81304,0.60772,0.67765,0.36473,1.56161,1.12918,1.55114,0.000516079,0.000516079,0.000516079
30,192.195,1.03761,1.07509,1.23889,0.81315,0.62527,0.6862,0.39085,1.5088,1.08621,1.51851,0.000509011,0.000509011,0.000509011
31,198.531,1.03664,1.06335,1.23558,0.8384,0.62987,0.68986,0.37922,1.54167,1.07966,1.53666,0.000501942,0.000501942,0.000501942
32,204.898,1.03414,1.04612,1.22991,0.81225,0.62591,0.69209,0.36766,1.61999,1.0988,1.57559,0.000494873,0.000494873,0.000494873
33,211.23,1.0363,1.04798,1.23168,0.83224,0.64062,0.70245,0.37197,1.59522,1.08236,1.57534,0.000487805,0.000487805,0.000487805
34,217.581,1.02795,1.03459,1.22856,0.79782,0.65549,0.71777,0.37022,1.6286,1.05026,1.57449,0.000480736,0.000480736,0.000480736
35,223.872,1.01413,1.02165,1.2203,0.82141,0.61542,0.68619,0.39666,1.4696,1.05225,1.4811,0.000473668,0.000473668,0.000473668
36,230.217,1.01826,1.01758,1.21611,0.81936,0.6316,0.69912,0.37533,1.57355,1.07296,1.55544,0.000466599,0.000466599,0.000466599
37,236.581,1.01468,1.0074,1.21233,0.79616,0.6418,0.70388,0.3952,1.53154,1.03301,1.51478,0.00045953,0.00045953,0.00045953
38,242.903,1.01478,1.01176,1.21849,0.80433,0.6325,0.69248,0.38447,1.52238,1.04592,1.50434,0.000452462,0.000452462,0.000452462
39,249.234,1.01054,0.99492,1.21118,0.86555,0.62951,0.71053,0.38121,1.59215,1.05118,1.54674,0.000445393,0.000445393,0.000445393
40,255.569,1.00563,0.98691,1.21049,0.83645,0.65065,0.7123,0.40508,1.50096,1.00951,1.49032,0.000438325,0.000438325,0.000438325
41,262.178,1.0009,0.98399,1.20384,0.83445,0.63921,0.71406,0.3847,1.53671,1.02607,1.52706,0.000431256,0.000431256,0.000431256
42,268.493,1.00075,0.98925,1.20796,0.83926,0.61256,0.70895,0.39064,1.57316,1.01335,1.53547,0.000424187,0.000424187,0.000424187
43,274.816,0.98639,0.96645,1.19856,0.85454,0.64301,0.72984,0.40659,1.52421,0.9733,1.51725,0.000417119,0.000417119,0.000417119
44,281.165,0.97679,0.96142,1.1921,0.81769,0.65726,0.72901,0.41168,1.45126,0.98077,1.46405,0.00041005,0.00041005,0.00041005
45,287.487,0.97586,0.94767,1.19183,0.88181,0.63249,0.72162,0.39909,1.51164,0.99395,1.49842,0.000402982,0.000402982,0.000402982
46,293.812,0.98051,0.95653,1.19395,0.85525,0.63723,0.71358,0.41001,1.50299,0.99005,1.4887,0.000395913,0.000395913,0.000395913
47,300.139,0.97711,0.94576,1.1857,0.83129,0.64588,0.72325,0.41123,1.48073,0.99938,1.48069,0.000388844,0.000388844,0.000388844
48,306.512,0.96642,0.93332,1.18293,0.78697,0.66877,0.72518,0.41842,1.45067,0.99522,1.45248,0.000381776,0.000381776,0.000381776
