epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82702,1.38888,2.87696,1.48555,0.40505,0.35884,0.29267,0.1286,1.80383,2.1712,1.77623,0.00023654,0.00023654,0.00023654
2,16.5293,1.28366,1.83735,1.42939,0.48288,0.46542,0.44535,0.18304,1.96519,1.88589,1.91367,0.000469842,0.000469842,0.000469842
3,23.072,1.24858,1.65187,1.40298,0.61414,0.38351,0.42964,0.18217,2.06243,1.94154,2.01063,0.000698432,0.000698432,0.000698432
4,29.5094,1.22351,1.56781,1.37733,0.70334,0.48268,0.53262,0.21868,1.94857,1.70983,1.96611,0.000692794,0.000692794,0.000692794
5,35.9455,1.19658,1.4846,1.3537,0.66583,0.50888,0.54943,0.25126,1.7838,1.6537,1.74034,0.000685726,0.000685726,0.000685726
6,42.3937,1.192,1.44091,1.33778,0.68745,0.50217,0.55732,0.26297,1.75817,1.52921,1.73468,0.000678657,0.000678657,0.000678657
7,48.8091,1.15887,1.37414,1.32353,0.68812,0.56077,0.56988,0.27003,1.80811,1.50525,1.73284,0.000671588,0.000671588,0.000671588
8,55.254,1.14957,1.34541,1.31937,0.71846,0.55188,0.60116,0.31467,1.66503,1.47348,1.66478,0.00066452,0.00066452,0.00066452
9,61.7249,1.13134,1.29545,1.30461,0.74197,0.55886,0.62636,0.31445,1.67722,1.43239,1.6493,0.000657451,0.000657451,0.000657451
10,68.1685,1.11457,1.24606,1.28642,0.7393,0.59197,0.63122,0.32354,1.66435,1.30114,1.63616,0.000650383,0.000650383,0.000650383
11,74.6344,1.09513,1.22012,1.2781,0.73861,0.60928,0.65214,0.33156,1.70944,1.31059,1.68056,0.000643314,0.000643314,0.000643314
12,81.0634,1.09096,1.19287,1.27124,0.76729,0.58823,0.64123,0.32117,1.71826,1.33233,1.67766,0.000636245,0.000636245,0.000636245
13,87.5001,1.08779,1.17772,1.26413,0.72415,0.59642,0.64354,0.31475,1.75986,1.30112,1.72929,0.000629177,0.000629177,0.000629177
14,93.9913,1.0752,1.14583,1.25598,0.79143,0.59376,0.66518,0.34104,1.68172,1.23866,1.6505,0.000622108,0.000622108,0.000622108
15,100.423,1.06899,1.12515,1.25058,0.79637,0.60872,0.68206,0.34134,1.66501,1.26283,1.63636,0.00061504,0.00061504,0.00061504
16,106.855,1.05304,1.09528,1.2377,0.76934,0.59682,0.65269,0.2828,1.88863,1.29897,1.82607,0.000607971,0.000607971,0.000607971
17,113.28,1.04658,1.08936,1.23463,0.75451,0.63863,0.66727,0.34199,1.66293,1.23978,1.6229,0.000600902,0.000600902,0.000600902
18,119.693,1.04669,1.0809,1.23629,0.80401,0.59994,0.67797,0.34517,1.69374,1.17173,1.64784,0.000593834,0.000593834,0.000593834
19,126.145,1.04454,1.05212,1.22398,0.79603,0.62811,0.68683,0.37179,1.57206,1.16185,1.57258,0.000586765,0.000586765,0.000586765
20,132.616,1.03044,1.04483,1.22453,0.80203,0.62956,0.68327,0.36093,1.59229,1.16615,1.58271,0.000579697,0.000579697,0.000579697
21,139.043,1.02246,1.03171,1.21895,0.79391,0.60051,0.67738,0.35836,1.55596,1.16391,1.55434,0.000572628,0.000572628,0.000572628
22,145.49,1.01957,1.00607,1.21071,0.76707,0.6297,0.68756,0.37105,1.53333,1.12882,1.52268,0.000565559,0.000565559,0.000565559
23,151.925,1.01184,0.99676,1.21245,0.83836,0.61704,0.71202,0.38019,1.62061,1.11725,1.57141,0.000558491,0.000558491,0.000558491
24,158.388,1.00492,0.99175,1.20128,0.83459,0.63667,0.71376,0.35896,1.70386,1.08671,1.65454,0.000551422,0.000551422,0.000551422
25,164.817,1.00205,0.97622,1.20244,0.81208,0.62828,0.70794,0.38421,1.53391,1.08245,1.53418,0.000544354,0.000544354,0.000544354
26,171.288,0.99498,0.97121,1.19503,0.82603,0.64306,0.70798,0.38802,1.52307,1.07903,1.53653,0.000537285,0.000537285,0.000537285
27,177.723,0.99322,0.96742,1.1999,0.82792,0.65355,0.72575,0.38508,1.57636,1.02173,1.57032,0.000530216,0.000530216,0.000530216
28,184.171,0.99297,0.9456,1.1901,0.81856,0.67388,0.73867,0.39035,1.5407,1.03399,1.52932,0.000523148,0.000523148,0.000523148
29,190.607,0.98197,0.93705,1.18722,0.82639,0.64622,0.72786,0.39046,1.52744,1.01264,1.54729,0.000516079,0.000516079,0.000516079
30,197.081,0.96373,0.92411,1.17584,0.85696,0.65581,0.73879,0.41912,1.47737,0.97928,1.49477,0.000509011,0.000509011,0.000509011
31,203.516,0.97028,0.92134,1.17648,0.85281,0.65308,0.73143,0.40554,1.52573,1.03254,1.53288,0.000501942,0.000501942,0.000501942
32,210.012,0.96202,0.9058,1.16808,0.85016,0.63,0.7215,0.40533,1.48571,1.02581,1.50259,0.000494873,0.000494873,0.000494873
33,216.403,0.97081,0.90915,1.17452,0.83523,0.64629,0.72675,0.38599,1.59284,1.03343,1.584,0.000487805,0.000487805,0.000487805
34,222.838,0.96071,0.89773,1.17317,0.84821,0.6806,0.74843,0.41084,1.54866,0.9932,1.51483,0.000480736,0.000480736,0.000480736
35,229.268,0.948,0.88113,1.16424,0.85611,0.64711,0.72596,0.40858,1.48299,1.00043,1.48966,0.000473668,0.000473668,0.000473668
36,235.695,0.95038,0.88073,1.16066,0.78316,0.69257,0.74102,0.4298,1.4125,0.95987,1.45379,0.000466599,0.000466599,0.000466599
37,242.162,0.94302,0.86524,1.15308,0.81979,0.64345,0.7299,0.39935,1.5316,1.00996,1.52957,0.00045953,0.00045953,0.00045953
38,248.653,0.94686,0.87217,1.1632,0.87527,0.67791,0.75363,0.40298,1.529,0.94269,1.55895,0.000452462,0.000452462,0.000452462
39,255.068,0.9404,0.85831,1.15568,0.87297,0.68047,0.76685,0.41209,1.57252,0.94413,1.58058,0.000445393,0.000445393,0.000445393
40,261.503,0.92884,0.84869,1.14976,0.87709,0.65963,0.74794,0.43351,1.42767,0.96267,1.45208,0.000438325,0.000438325,0.000438325
41,267.951,0.92893,0.8456,1.14673,0.83175,0.68359,0.75639,0.42229,1.48738,0.93535,1.51687,0.000431256,0.000431256,0.000431256
42,274.381,0.92072,0.84645,1.14644,0.8631,0.65952,0.749,0.43811,1.42642,0.92945,1.46978,0.000424187,0.000424187,0.000424187
43,280.817,0.91387,0.8221,1.14075,0.869,0.67311,0.74868,0.4532,1.40886,0.919,1.44144,0.000417119,0.000417119,0.000417119
44,287.312,0.90923,0.82448,1.1381,0.87388,0.67184,0.76339,0.43035,1.45848,0.92065,1.49291,0.00041005,0.00041005,0.00041005
45,293.717,0.90643,0.81003,1.13398,0.87992,0.67184,0.75807,0.42742,1.44701,0.91108,1.47247,0.000402982,0.000402982,0.000402982
46,300.155,0.90808,0.82068,1.13833,0.86678,0.66624,0.75266,0.44404,1.38527,0.90945,1.43402,0.000395913,0.000395913,0.000395913
47,306.587,0.90187,0.80356,1.12998,0.85132,0.6923,0.75926,0.43431,1.43029,0.92207,1.46699,0.000388844,0.000388844,0.000388844
48,313.035,0.89038,0.79333,1.12716,0.87837,0.68386,0.76997,0.468,1.35948,0.86953,1.40154,0.000381776,0.000381776,0.000381776
49,319.494,0.8866,0.78824,1.12437,0.86032,0.6947,0.7672,0.44333,1.40558,0.88387,1.43411,0.000374707,0.000374707,0.000374707
50,325.975,0.89037,0.79099,1.12331,0.87602,0.69895,0.77696,0.46107,1.42824,0.86394,1.45929,0.000367639,0.000367639,0.000367639
51,332.376,0.88983,0.79011,1.12302,0.8805,0.6898,0.7757,0.45393,1.40642,0.86994,1.43726,0.00036057,0.00036057,0.00036057
52,338.818,0.88388,0.78424,1.12342,0.83666,0.70534,0.76835,0.43883,1.4531,0.86646,1.48669,0.000353501,0.000353501,0.000353501
53,345.22,0.87759,0.78158,1.12163,0.87729,0.68917,0.76926,0.45339,1.42317,0.87436,1.46254,0.000346433,0.000346433,0.000346433
54,351.646,0.88761,0.7717,1.11718,0.88813,0.69173,0.77602,0.46103,1.39526,0.84684,1.4411,0.000339364,0.000339364,0.000339364
55,358.088,0.87459,0.76792,1.11689,0.8918,0.68806,0.77772,0.45428,1.3926,0.85666,1.45317,0.000332296,0.000332296,0.000332296
56,364.532,0.87263,0.76433,1.11335,0.9046,0.67466,0.77243,0.45945,1.37712,0.84473,1.40315,0.000325227,0.000325227,0.000325227
57,370.939,0.86411,0.75281,1.10929,0.81698,0.71301,0.76706,0.46363,1.35464,0.82734,1.40588,0.000318158,0.000318158,0.000318158
