epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.35649,1.39131,2.9064,1.51399,0.37911,0.34062,0.29659,0.13709,1.80352,2.21056,1.81424,0.00023654,0.00023654,0.00023654
2,14.6716,1.29502,1.8676,1.45934,0.55633,0.44429,0.45442,0.19575,1.97402,1.7975,1.9426,0.000469842,0.000469842,0.000469842
3,21.2976,1.25447,1.65938,1.42117,0.5392,0.47619,0.47808,0.20468,1.9521,1.84435,1.93363,0.000698432,0.000698432,0.000698432
4,28.1484,1.23035,1.57122,1.39058,0.63877,0.46768,0.50053,0.22427,1.91955,1.67313,1.95701,0.000692794,0.000692794,0.000692794
5,34.8449,1.19873,1.48504,1.36652,0.67163,0.49672,0.55005,0.24485,1.81495,1.64959,1.78226,0.000685726,0.000685726,0.000685726
6,41.7145,1.1985,1.44582,1.35222,0.7509,0.48958,0.56425,0.26436,1.76085,1.58991,1.75763,0.000678657,0.000678657,0.000678657
7,48.1841,1.16077,1.37375,1.33487,0.695,0.54054,0.57757,0.27255,1.81501,1.5414,1.75958,0.000671588,0.000671588,0.000671588
8,54.7378,1.1568,1.34838,1.32988,0.69557,0.55387,0.60053,0.28788,1.77744,1.58203,1.76169,0.00066452,0.00066452,0.00066452
9,61.5066,1.12907,1.29426,1.312,0.72743,0.52583,0.60855,0.29402,1.76769,1.43753,1.73356,0.000657451,0.000657451,0.000657451
10,68.2068,1.12126,1.25195,1.2959,0.7559,0.57125,0.62231,0.29577,1.74995,1.42782,1.73687,0.000650383,0.000650383,0.000650383
11,75.0198,1.10255,1.22182,1.2912,0.73922,0.57211,0.63169,0.30543,1.73156,1.36594,1.69129,0.000643314,0.000643314,0.000643314
12,81.7278,1.09188,1.18446,1.27758,0.71976,0.57937,0.62104,0.32535,1.62438,1.3332,1.62689,0.000636245,0.000636245,0.000636245
13,88.5889,1.08558,1.16801,1.27063,0.75152,0.60227,0.63859,0.3156,1.74,1.32604,1.72302,0.000629177,0.000629177,0.000629177
14,95.4416,1.07371,1.1416,1.26001,0.76637,0.61096,0.6613,0.3338,1.6842,1.27277,1.65735,0.000622108,0.000622108,0.000622108
15,102.281,1.07145,1.12512,1.25751,0.83802,0.59399,0.66851,0.33649,1.7157,1.27987,1.67938,0.00061504,0.00061504,0.00061504
16,109.149,1.05153,1.09461,1.24478,0.76173,0.60913,0.65391,0.31829,1.70882,1.30171,1.71022,0.000607971,0.000607971,0.000607971
17,116.038,1.04342,1.08644,1.23949,0.79192,0.61566,0.65735,0.33187,1.66041,1.27867,1.65127,0.000600902,0.000600902,0.000600902
18,122.849,1.05094,1.07627,1.24478,0.72935,0.63123,0.6673,0.34357,1.65824,1.19239,1.65455,0.000593834,0.000593834,0.000593834
19,129.69,1.05024,1.05314,1.23126,0.85726,0.61159,0.69403,0.36318,1.62171,1.19068,1.65543,0.000586765,0.000586765,0.000586765
20,136.634,1.03666,1.04274,1.2325,0.78384,0.62355,0.67674,0.36165,1.60723,1.20173,1.63023,0.000579697,0.000579697,0.000579697
21,143.371,1.0281,1.03784,1.22882,0.80023,0.61905,0.67883,0.34219,1.65682,1.18632,1.64552,0.000572628,0.000572628,0.000572628
22,150.28,1.02564,1.01708,1.22275,0.76556,0.60566,0.67126,0.34268,1.62962,1.1292,1.63506,0.000565559,0.000565559,0.000565559
23,157.102,1.01078,0.999,1.21805,0.82194,0.60998,0.68601,0.35259,1.61164,1.13611,1.59713,0.000558491,0.000558491,0.000558491
24,163.88,1.00807,0.99305,1.20754,0.83157,0.63918,0.71554,0.38127,1.57208,1.07351,1.58275,0.000551422,0.000551422,0.000551422
25,170.769,0.99646,0.97316,1.20547,0.83792,0.61265,0.70508,0.37455,1.59688,1.07111,1.5848,0.000544354,0.000544354,0.000544354
26,177.618,0.99541,0.97553,1.20071,0.83387,0.61913,0.71901,0.37519,1.53551,1.0424,1.56288,0.000537285,0.000537285,0.000537285
27,184.414,0.99776,0.97128,1.20932,0.81452,0.64243,0.71396,0.36883,1.63185,1.07987,1.62468,0.000530216,0.000530216,0.000530216
28,191.304,0.99346,0.94813,1.19834,0.81252,0.61935,0.70195,0.37857,1.5389,1.03384,1.54265,0.000523148,0.000523148,0.000523148
29,198.1,0.98488,0.93829,1.19199,0.82751,0.62735,0.70253,0.38908,1.51838,1.01497,1.55717,0.000516079,0.000516079,0.000516079
30,204.998,0.97043,0.9261,1.184,0.85579,0.64415,0.73659,0.3973,1.54719,0.99823,1.56582,0.000509011,0.000509011,0.000509011
31,211.865,0.97134,0.92102,1.18173,0.85018,0.66482,0.72845,0.40033,1.49546,0.9919,1.51882,0.000501942,0.000501942,0.000501942
32,218.685,0.9632,0.90133,1.17324,0.80541,0.65721,0.72719,0.38521,1.56014,0.99721,1.57573,0.000494873,0.000494873,0.000494873
33,225.518,0.9676,0.90255,1.17797,0.8491,0.66282,0.73129,0.41094,1.50492,0.98196,1.53975,0.000487805,0.000487805,0.000487805
34,232.462,0.96432,0.8965,1.17849,0.82818,0.67617,0.73959,0.40083,1.57933,0.95166,1.56103,0.000480736,0.000480736,0.000480736
35,239.259,0.94308,0.88216,1.16693,0.79461,0.67767,0.72297,0.41606,1.43558,0.9691,1.48915,0.000473668,0.000473668,0.000473668
36,246.169,0.94926,0.87318,1.16279,0.79955,0.70154,0.74848,0.43335,1.39156,0.93072,1.44911,0.000466599,0.000466599,0.000466599
37,253.002,0.94559,0.86039,1.15904,0.86296,0.67247,0.74432,0.41189,1.53352,0.96693,1.52863,0.00045953,0.00045953,0.00045953
