epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7446,1.43978,3.27042,1.52797,0.4578,0.22909,0.23055,0.09918,1.85859,2.50263,1.81214,0.00332311,0.00332311,0.00332311
2,20.9179,1.40811,2.17597,1.50985,0.52287,0.36948,0.36788,0.157,1.81089,2.06757,1.8353,0.00664766,0.00664766,0.00664766
3,30.8724,1.39404,2.0074,1.50539,0.49761,0.39676,0.3722,0.16221,1.90154,2.14019,1.92734,0.0099634,0.0099634,0.0099634
4,40.8574,1.41388,1.96799,1.51189,0.5554,0.39308,0.40893,0.17242,1.96629,2.1034,1.96908,0.0099604,0.0099604,0.0099604
5,50.8872,1.39517,1.86677,1.50347,0.5397,0.41051,0.41356,0.16669,1.95432,2.03573,1.95287,0.0099472,0.0099472,0.0099472
6,60.8568,1.36826,1.79862,1.48523,0.64318,0.42805,0.47039,0.21097,1.92874,1.86421,1.9847,0.009934,0.009934,0.009934
7,70.8954,1.34277,1.70202,1.4613,0.58073,0.48944,0.50052,0.23933,1.85438,1.73583,1.90009,0.0099208,0.0099208,0.0099208
8,80.812,1.31918,1.64698,1.45062,0.65413,0.48324,0.53261,0.25382,1.776,1.65187,1.78356,0.0099076,0.0099076,0.0099076
9,90.0406,1.30928,1.57991,1.42872,0.67553,0.49787,0.5483,0.25604,1.75814,1.56307,1.77863,0.0098944,0.0098944,0.0098944
10,99.7013,1.28612,1.53401,1.41206,0.62228,0.51054,0.53748,0.24339,1.8422,1.64436,1.86022,0.0098812,0.0098812,0.0098812
11,108.406,1.26881,1.47526,1.40331,0.69422,0.51756,0.56416,0.25689,1.85859,1.62469,1.8843,0.009868,0.009868,0.009868
12,117.1,1.26161,1.44197,1.39051,0.70718,0.55412,0.58643,0.26685,1.7891,1.51314,1.8287,0.0098548,0.0098548,0.0098548
13,126.186,1.2537,1.40984,1.38576,0.73624,0.56315,0.60453,0.2699,1.89086,1.47074,1.88926,0.0098416,0.0098416,0.0098416
14,136.17,1.23841,1.36829,1.38506,0.76878,0.56371,0.61984,0.29848,1.81156,1.401,1.80835,0.0098284,0.0098284,0.0098284
15,145.68,1.2246,1.3318,1.36251,0.76464,0.54859,0.62135,0.29534,1.83171,1.43233,1.87687,0.0098152,0.0098152,0.0098152
