epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95195,1.44204,2.92789,1.51931,0.44349,0.31053,0.30919,0.16038,1.52933,2.0642,1.43929,0.000236312,0.000236312,0.000236312
2,15.7739,1.39508,1.96768,1.48622,0.4542,0.36169,0.34611,0.18328,1.4826,1.94309,1.449,0.000469616,0.000469616,0.000469616
3,22.0673,1.38248,1.80986,1.46675,0.55183,0.40522,0.42468,0.22694,1.48426,1.74555,1.44132,0.000698208,0.000698208,0.000698208
4,28.4018,1.34193,1.69178,1.44636,0.55993,0.44776,0.45942,0.25416,1.41036,1.56657,1.40768,0.000692794,0.000692794,0.000692794
5,34.6292,1.31778,1.61284,1.42367,0.64276,0.4355,0.4935,0.26597,1.45544,1.60279,1.38313,0.000685726,0.000685726,0.000685726
6,40.9661,1.30656,1.52889,1.41904,0.57774,0.46697,0.48569,0.26988,1.36349,1.48409,1.34982,0.000678657,0.000678657,0.000678657
7,47.169,1.27348,1.46286,1.38957,0.64618,0.48573,0.52412,0.288,1.40665,1.47182,1.34428,0.000671588,0.000671588,0.000671588
8,53.6512,1.25776,1.4029,1.37009,0.68019,0.4702,0.52686,0.30182,1.37767,1.51587,1.34814,0.00066452,0.00066452,0.00066452
9,60.0692,1.23208,1.3509,1.35424,0.7067,0.51542,0.57575,0.33629,1.29494,1.30778,1.28734,0.000657451,0.000657451,0.000657451
10,66.3044,1.21578,1.31127,1.34442,0.70922,0.52091,0.57937,0.33378,1.30611,1.28006,1.30182,0.000650383,0.000650383,0.000650383
11,72.6737,1.20328,1.26353,1.3254,0.72226,0.52532,0.58954,0.3187,1.4023,1.27529,1.32717,0.000643314,0.000643314,0.000643314
12,79.0684,1.19424,1.22872,1.31894,0.70907,0.54416,0.61181,0.35943,1.26678,1.19179,1.24928,0.000636245,0.000636245,0.000636245
13,85.2692,1.1768,1.20135,1.30872,0.7327,0.5399,0.61058,0.35779,1.28607,1.17684,1.27186,0.000629177,0.000629177,0.000629177
14,91.6069,1.16657,1.16161,1.29324,0.74532,0.53291,0.60684,0.34188,1.33774,1.23353,1.30008,0.000622108,0.000622108,0.000622108
15,97.9133,1.14946,1.12672,1.29419,0.74092,0.55963,0.62781,0.37564,1.24079,1.11619,1.23516,0.00061504,0.00061504,0.00061504
16,104.321,1.14978,1.12284,1.29706,0.74915,0.56137,0.62826,0.37168,1.27169,1.13242,1.23978,0.000607971,0.000607971,0.000607971
17,110.583,1.12834,1.09053,1.27647,0.76158,0.56715,0.63643,0.38113,1.25456,1.08492,1.24102,0.000600902,0.000600902,0.000600902
18,117.465,1.11977,1.06113,1.26646,0.80367,0.5708,0.65191,0.38905,1.25123,1.06696,1.23828,0.000593834,0.000593834,0.000593834
19,124.063,1.11581,1.0442,1.25785,0.76043,0.58096,0.64902,0.39182,1.22391,1.05711,1.22851,0.000586765,0.000586765,0.000586765
20,130.545,1.10105,1.0298,1.25244,0.7893,0.57275,0.65365,0.40264,1.21216,1.05014,1.21376,0.000579697,0.000579697,0.000579697
21,136.984,1.09861,1.00817,1.2465,0.78538,0.58063,0.6551,0.39583,1.22817,1.04088,1.21752,0.000572628,0.000572628,0.000572628
22,143.356,1.08827,0.99134,1.2413,0.76406,0.59225,0.66104,0.40507,1.19296,1.01226,1.19984,0.000565559,0.000565559,0.000565559
23,149.791,1.07783,0.96477,1.22853,0.79415,0.58978,0.67295,0.41219,1.18044,0.99078,1.1831,0.000558491,0.000558491,0.000558491
24,156.222,1.07195,0.96358,1.22805,0.78882,0.59342,0.67381,0.41569,1.18446,1.00018,1.1884,0.000551422,0.000551422,0.000551422
25,162.615,1.05909,0.94765,1.22094,0.80588,0.58977,0.67653,0.41437,1.21666,0.99513,1.20881,0.000544354,0.000544354,0.000544354
26,169.119,1.05409,0.94163,1.2255,0.81806,0.59673,0.6865,0.42331,1.19782,0.94518,1.19539,0.000537285,0.000537285,0.000537285
27,175.653,1.04948,0.92487,1.22043,0.7968,0.6065,0.68719,0.42581,1.18375,0.95287,1.17243,0.000530216,0.000530216,0.000530216
28,182.07,1.04854,0.91609,1.21287,0.77652,0.61771,0.68459,0.42084,1.18857,0.94697,1.19174,0.000523148,0.000523148,0.000523148
29,188.325,1.02768,0.88527,1.20108,0.82235,0.60749,0.69164,0.42263,1.18859,0.93701,1.17469,0.000516079,0.000516079,0.000516079
30,194.544,1.02923,0.88834,1.20062,0.81854,0.62306,0.70233,0.44357,1.12595,0.90275,1.14398,0.000509011,0.000509011,0.000509011
31,201.003,1.0184,0.87217,1.1954,0.8043,0.6269,0.69665,0.43207,1.15904,0.92036,1.15424,0.000501942,0.000501942,0.000501942
32,207.515,1.01638,0.86176,1.19447,0.82713,0.622,0.70136,0.43883,1.13925,0.88118,1.15431,0.000494873,0.000494873,0.000494873
33,213.66,0.99856,0.83339,1.18006,0.81533,0.62254,0.70268,0.43482,1.16915,0.88747,1.16044,0.000487805,0.000487805,0.000487805
34,219.77,0.99997,0.83211,1.17671,0.82148,0.64047,0.71452,0.45581,1.11027,0.861,1.12468,0.000480736,0.000480736,0.000480736
35,226.154,0.98287,0.82578,1.1681,0.8335,0.63124,0.71475,0.4299,1.21345,0.88272,1.20689,0.000473668,0.000473668,0.000473668
36,232.454,0.98315,0.82477,1.16788,0.83808,0.61972,0.71431,0.45436,1.13137,0.86306,1.13675,0.000466599,0.000466599,0.000466599
37,238.607,0.98332,0.81191,1.1721,0.82316,0.63684,0.71596,0.44914,1.147,0.87044,1.14869,0.00045953,0.00045953,0.00045953
38,244.788,0.96898,0.80287,1.16188,0.82265,0.6423,0.71648,0.45806,1.11573,0.84889,1.1244,0.000452462,0.000452462,0.000452462
39,250.985,0.96832,0.80415,1.16368,0.80708,0.64574,0.72098,0.4541,1.14195,0.83617,1.15196,0.000445393,0.000445393,0.000445393
40,257.154,0.96207,0.78135,1.15094,0.8217,0.63567,0.71779,0.46086,1.11086,0.84181,1.13631,0.000438325,0.000438325,0.000438325
41,263.31,0.9629,0.77537,1.14882,0.81242,0.64647,0.72025,0.46211,1.11502,0.84626,1.12282,0.000431256,0.000431256,0.000431256
42,269.526,0.94788,0.76366,1.14745,0.82746,0.64385,0.72862,0.4645,1.11703,0.82502,1.1344,0.000424187,0.000424187,0.000424187
43,275.701,0.94159,0.75417,1.13263,0.83927,0.6286,0.71771,0.45708,1.12142,0.84956,1.136,0.000417119,0.000417119,0.000417119
44,281.872,0.937,0.75363,1.1411,0.82889,0.65869,0.73189,0.46558,1.11626,0.81596,1.13053,0.00041005,0.00041005,0.00041005
45,288.08,0.92957,0.73957,1.13427,0.83111,0.65529,0.73644,0.4739,1.09482,0.79405,1.11054,0.000402982,0.000402982,0.000402982
46,294.297,0.92485,0.72866,1.12478,0.83255,0.65009,0.73227,0.47484,1.07522,0.79976,1.10311,0.000395913,0.000395913,0.000395913
47,300.481,0.92045,0.72341,1.1297,0.84541,0.6427,0.73052,0.47378,1.07043,0.79744,1.10425,0.000388844,0.000388844,0.000388844
48,306.618,0.92014,0.71807,1.12013,0.82319,0.66831,0.74121,0.47759,1.08146,0.78094,1.10594,0.000381776,0.000381776,0.000381776
49,312.803,0.9075,0.70888,1.11628,0.83963,0.64263,0.73753,0.47552,1.08362,0.78446,1.10265,0.000374707,0.000374707,0.000374707
50,318.936,0.90191,0.7145,1.1154,0.84157,0.65022,0.73644,0.48083,1.05115,0.76849,1.09745,0.000367639,0.000367639,0.000367639
51,325.088,0.90869,0.70865,1.11801,0.84154,0.65005,0.73701,0.48172,1.06644,0.78148,1.09886,0.00036057,0.00036057,0.00036057
52,331.269,0.89724,0.68965,1.1056,0.86526,0.64438,0.73901,0.48742,1.05779,0.76724,1.09128,0.000353501,0.000353501,0.000353501
53,337.465,0.87777,0.67584,1.09653,0.8385,0.65859,0.74197,0.48786,1.05028,0.75965,1.08413,0.000346433,0.000346433,0.000346433
54,343.656,0.88378,0.68846,1.10187,0.8471,0.66029,0.74894,0.48368,1.07035,0.75667,1.09773,0.000339364,0.000339364,0.000339364
55,349.809,0.8802,0.67511,1.10252,0.85976,0.65918,0.74522,0.48326,1.06333,0.74319,1.09807,0.000332296,0.000332296,0.000332296
56,355.921,0.88157,0.6811,1.09854,0.84767,0.66987,0.74657,0.49101,1.04392,0.74715,1.08198,0.000325227,0.000325227,0.000325227
57,362.079,0.87376,0.66841,1.09701,0.83886,0.67358,0.74509,0.48477,1.05112,0.7524,1.08562,0.000318158,0.000318158,0.000318158
58,368.182,0.87103,0.66138,1.09145,0.85455,0.65476,0.74253,0.49388,1.03235,0.74915,1.07531,0.00031109,0.00031109,0.00031109
59,374.367,0.86131,0.65527,1.09105,0.83658,0.67816,0.75163,0.49621,1.02786,0.74272,1.07729,0.000304021,0.000304021,0.000304021
60,380.584,0.86828,0.65644,1.08888,0.82197,0.6843,0.75084,0.49647,1.03825,0.73419,1.08473,0.000296953,0.000296953,0.000296953
61,386.775,0.84824,0.64255,1.08338,0.83426,0.66372,0.74594,0.48807,1.05609,0.74885,1.08575,0.000289884,0.000289884,0.000289884
62,392.954,0.85004,0.64598,1.07554,0.86306,0.6638,0.75413,0.49807,1.0401,0.72412,1.08577,0.000282815,0.000282815,0.000282815
63,399.21,0.84118,0.63252,1.07792,0.83171,0.68795,0.75503,0.50159,1.0243,0.71359,1.07203,0.000275747,0.000275747,0.000275747
64,405.486,0.84229,0.63436,1.07917,0.8615,0.67152,0.75842,0.50453,1.02165,0.72178,1.06693,0.000268678,0.000268678,0.000268678
65,411.295,0.83969,0.62418,1.07267,0.84149,0.68083,0.75664,0.49965,1.03156,0.71615,1.07565,0.00026161,0.00026161,0.00026161
66,416.995,0.83852,0.62525,1.07296,0.86971,0.66322,0.75386,0.50181,1.0215,0.71028,1.07688,0.000254541,0.000254541,0.000254541
67,422.37,0.83334,0.62436,1.07445,0.85687,0.67359,0.75515,0.49614,1.03739,0.71426,1.07796,0.000247472,0.000247472,0.000247472
68,427.772,0.82946,0.61669,1.06815,0.8643,0.6802,0.75657,0.50208,1.02719,0.71611,1.07384,0.000240404,0.000240404,0.000240404
69,433.165,0.8184,0.60774,1.06198,0.86417,0.68243,0.76177,0.50804,1.01465,0.69985,1.06608,0.000233335,0.000233335,0.000233335
70,438.572,0.81622,0.60562,1.0666,0.84545,0.68773,0.76088,0.51076,1.00786,0.6931,1.06695,0.000226267,0.000226267,0.000226267
71,443.985,0.82209,0.61582,1.06588,0.85766,0.68372,0.75843,0.50715,1.01216,0.70096,1.06177,0.000219198,0.000219198,0.000219198
72,449.43,0.81388,0.6123,1.07016,0.86476,0.67583,0.76119,0.50922,1.01135,0.69663,1.06948,0.000212129,0.000212129,0.000212129
73,454.91,0.8021,0.58599,1.05528,0.85814,0.68453,0.76078,0.51138,0.99824,0.69742,1.0556,0.000205061,0.000205061,0.000205061
74,460.341,0.80327,0.60056,1.0559,0.85486,0.68535,0.76141,0.51481,1.00393,0.69458,1.06122,0.000197992,0.000197992,0.000197992
75,465.818,0.80042,0.5934,1.05143,0.83753,0.68793,0.76208,0.50388,1.02576,0.70394,1.07919,0.000190924,0.000190924,0.000190924
76,471.279,0.80111,0.58804,1.05644,0.85953,0.68293,0.76241,0.5081,1.03109,0.69888,1.07625,0.000183855,0.000183855,0.000183855
77,476.863,0.7843,0.57431,1.04327,0.86561,0.689,0.76811,0.51689,0.99838,0.68608,1.0557,0.000176786,0.000176786,0.000176786
78,482.321,0.78161,0.56982,1.04062,0.86588,0.68379,0.76566,0.51021,1.02506,0.69304,1.07621,0.000169718,0.000169718,0.000169718
79,487.732,0.78308,0.57153,1.03951,0.85771,0.69611,0.77018,0.51741,0.9955,0.68624,1.05371,0.000162649,0.000162649,0.000162649
80,493.642,0.77619,0.56189,1.03937,0.87345,0.68508,0.7683,0.51303,1.00671,0.68298,1.06552,0.000155581,0.000155581,0.000155581
81,499.868,0.78103,0.57026,1.03846,0.86434,0.68689,0.76958,0.51726,0.99752,0.67347,1.05915,0.000148512,0.000148512,0.000148512
82,506.012,0.77408,0.55688,1.03412,0.85591,0.69127,0.76749,0.5162,0.99958,0.68153,1.05671,0.000141443,0.000141443,0.000141443
83,512.286,0.76408,0.55549,1.0295,0.87331,0.6921,0.77212,0.51994,0.99086,0.66679,1.051,0.000134375,0.000134375,0.000134375
84,518.533,0.76174,0.54874,1.02975,0.87754,0.68629,0.77086,0.52156,0.99156,0.67799,1.05254,0.000127306,0.000127306,0.000127306
85,524.745,0.75384,0.54616,1.03001,0.86831,0.68764,0.77212,0.52179,0.98559,0.67341,1.04909,0.000120238,0.000120238,0.000120238
86,530.971,0.75657,0.54894,1.03,0.87312,0.68545,0.77218,0.52089,0.98507,0.66925,1.04812,0.000113169,0.000113169,0.000113169
87,537.192,0.74723,0.54456,1.02282,0.85818,0.69089,0.77061,0.51968,0.98482,0.66935,1.05291,0.0001061,0.0001061,0.0001061
88,543.345,0.74395,0.53583,1.02229,0.85792,0.69502,0.77464,0.52238,0.97791,0.66184,1.04404,9.90318e-05,9.90318e-05,9.90318e-05
89,549.531,0.74556,0.53181,1.0203,0.8616,0.69752,0.77474,0.52012,0.99714,0.66666,1.05724,9.19632e-05,9.19632e-05,9.19632e-05
90,555.719,0.74329,0.53512,1.02203,0.86994,0.69824,0.77785,0.52445,0.98536,0.65463,1.051,8.48946e-05,8.48946e-05,8.48946e-05
91,562.666,0.7344,0.53722,1.01944,0.87705,0.69455,0.7783,0.52575,0.98653,0.65683,1.05092,7.7826e-05,7.7826e-05,7.7826e-05
92,568.877,0.73455,0.52739,1.01236,0.86181,0.7036,0.77766,0.52417,0.98533,0.65832,1.04713,7.07574e-05,7.07574e-05,7.07574e-05
93,575.056,0.73119,0.52421,1.01145,0.87634,0.69605,0.77761,0.52593,0.98173,0.65994,1.0465,6.36888e-05,6.36888e-05,6.36888e-05
94,581.275,0.72779,0.51945,1.01052,0.87236,0.69787,0.7787,0.52784,0.97754,0.65317,1.04542,5.66202e-05,5.66202e-05,5.66202e-05
95,587.466,0.7327,0.52856,1.00879,0.8729,0.69204,0.77828,0.52901,0.97338,0.64942,1.03956,4.95516e-05,4.95516e-05,4.95516e-05
96,593.672,0.72228,0.51662,1.0047,0.86356,0.69674,0.7789,0.52904,0.97192,0.64926,1.04001,4.2483e-05,4.2483e-05,4.2483e-05
97,599.833,0.72148,0.52741,1.00746,0.86876,0.69354,0.7786,0.52969,0.97075,0.64831,1.04113,3.54144e-05,3.54144e-05,3.54144e-05
98,606.083,0.72053,0.52221,1.00971,0.85789,0.70208,0.78074,0.5298,0.97326,0.64355,1.04235,2.83458e-05,2.83458e-05,2.83458e-05
99,612.313,0.71181,0.51172,1.00216,0.87206,0.69505,0.77996,0.53257,0.96757,0.64384,1.03762,2.12772e-05,2.12772e-05,2.12772e-05
100,618.536,0.71547,0.52078,1.00908,0.85732,0.70424,0.78219,0.53139,0.9697,0.64453,1.04116,1.42086e-05,1.42086e-05,1.42086e-05
