epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7759,1.45576,2.85951,1.54343,0.46224,0.3524,0.34486,0.18015,1.51467,1.90269,1.47219,0.000237153,0.000237153,0.000237153
2,19.7608,1.40357,2.00825,1.51744,0.51156,0.39752,0.41636,0.21748,1.43174,1.63757,1.43821,0.000470449,0.000470449,0.000470449
3,28.5439,1.38452,1.84023,1.49359,0.59398,0.41595,0.45002,0.24155,1.46967,1.62055,1.42433,0.000699033,0.000699033,0.000699033
4,37.1505,1.3614,1.74188,1.47788,0.5969,0.44072,0.48066,0.26803,1.41348,1.52341,1.37724,0.000692794,0.000692794,0.000692794
5,45.7229,1.33117,1.64309,1.44604,0.68831,0.45612,0.5148,0.28833,1.36352,1.44284,1.36992,0.000685726,0.000685726,0.000685726
6,54.2499,1.30603,1.55604,1.43173,0.6751,0.48896,0.54418,0.30385,1.37833,1.39394,1.35605,0.000678657,0.000678657,0.000678657
7,62.2724,1.2946,1.49668,1.42183,0.67332,0.48893,0.54378,0.31083,1.34487,1.39862,1.33562,0.000671588,0.000671588,0.000671588
8,69.9208,1.26599,1.43338,1.38969,0.71569,0.50472,0.56836,0.32144,1.32432,1.29085,1.31015,0.00066452,0.00066452,0.00066452
9,77.6032,1.25292,1.38565,1.3816,0.6905,0.51889,0.57303,0.3336,1.30513,1.2667,1.28736,0.000657451,0.000657451,0.000657451
10,85.279,1.23453,1.34762,1.3662,0.73567,0.51668,0.58873,0.33761,1.30637,1.24966,1.28498,0.000650383,0.000650383,0.000650383
11,93.0383,1.2248,1.29506,1.35127,0.71846,0.53038,0.59485,0.33108,1.34885,1.24573,1.31043,0.000643314,0.000643314,0.000643314
12,100.729,1.21564,1.26957,1.34599,0.74194,0.54089,0.60952,0.35669,1.25499,1.18804,1.26687,0.000636245,0.000636245,0.000636245
13,108.426,1.19459,1.23193,1.3356,0.70657,0.55777,0.61162,0.35395,1.26138,1.14999,1.25265,0.000629177,0.000629177,0.000629177
14,116.034,1.18014,1.19183,1.3135,0.76291,0.5494,0.6278,0.37036,1.24775,1.11829,1.24504,0.000622108,0.000622108,0.000622108
15,123.711,1.16175,1.15774,1.30525,0.75357,0.55077,0.62869,0.3741,1.23691,1.13165,1.23634,0.00061504,0.00061504,0.00061504
16,131.363,1.16672,1.15979,1.31766,0.74691,0.56301,0.63657,0.36915,1.26853,1.12378,1.25663,0.000607971,0.000607971,0.000607971
17,139.072,1.14795,1.13011,1.30326,0.78675,0.57546,0.65463,0.3918,1.21638,1.07567,1.2272,0.000600902,0.000600902,0.000600902
18,146.808,1.14316,1.10583,1.28991,0.76147,0.57916,0.65476,0.3964,1.22011,1.04509,1.22673,0.000593834,0.000593834,0.000593834
19,154.518,1.13018,1.09702,1.28456,0.76979,0.57696,0.65604,0.39997,1.19469,1.03502,1.20993,0.000586765,0.000586765,0.000586765
20,162.373,1.12548,1.07335,1.28106,0.77738,0.58403,0.65083,0.39835,1.19843,1.02375,1.21086,0.000579697,0.000579697,0.000579697
21,170.195,1.11264,1.03533,1.26544,0.79004,0.5684,0.65373,0.40027,1.17564,1.04234,1.19977,0.000572628,0.000572628,0.000572628
22,178.024,1.10618,1.03349,1.2646,0.78808,0.58041,0.66301,0.40612,1.19268,1.01152,1.18749,0.000565559,0.000565559,0.000565559
23,185.669,1.10198,0.9988,1.25406,0.77788,0.60301,0.6791,0.41488,1.17871,0.9668,1.19155,0.000558491,0.000558491,0.000558491
24,193.287,1.08365,0.98811,1.24859,0.79123,0.597,0.67339,0.41534,1.17231,0.97047,1.18432,0.000551422,0.000551422,0.000551422
25,201.58,1.09173,0.9919,1.2495,0.80797,0.59628,0.67699,0.41607,1.17363,0.97485,1.18482,0.000544354,0.000544354,0.000544354
26,209.844,1.07224,0.96856,1.24338,0.78787,0.60448,0.68027,0.41425,1.20586,0.96668,1.20042,0.000537285,0.000537285,0.000537285
27,218.407,1.06797,0.95256,1.24078,0.7918,0.60374,0.68406,0.41123,1.20615,0.96007,1.19927,0.000530216,0.000530216,0.000530216
28,226.973,1.05923,0.94318,1.22745,0.78382,0.61326,0.68654,0.42333,1.1605,0.93635,1.17549,0.000523148,0.000523148,0.000523148
29,235.585,1.04848,0.92505,1.22356,0.81221,0.61309,0.69783,0.43352,1.14109,0.91025,1.15451,0.000516079,0.000516079,0.000516079
30,244.239,1.04249,0.91471,1.2209,0.803,0.61513,0.69355,0.42865,1.15578,0.92665,1.17478,0.000509011,0.000509011,0.000509011
31,252.81,1.04175,0.90797,1.22213,0.78872,0.62336,0.69702,0.43649,1.14642,0.90547,1.1699,0.000501942,0.000501942,0.000501942
32,261.345,1.03092,0.89931,1.21469,0.80167,0.62282,0.69622,0.44138,1.13412,0.8901,1.15711,0.000494873,0.000494873,0.000494873
33,269.984,1.02692,0.88307,1.20923,0.79423,0.6227,0.7018,0.43937,1.14167,0.91113,1.16173,0.000487805,0.000487805,0.000487805
34,278.528,1.01512,0.86771,1.20081,0.83371,0.61057,0.70321,0.44129,1.12916,0.88746,1.1547,0.000480736,0.000480736,0.000480736
35,287.136,1.01401,0.85433,1.19891,0.80513,0.63544,0.70722,0.44724,1.10764,0.86096,1.14389,0.000473668,0.000473668,0.000473668
36,295.883,0.99596,0.8463,1.18425,0.84236,0.62521,0.71374,0.44644,1.12852,0.87241,1.15043,0.000466599,0.000466599,0.000466599
37,304.467,0.99949,0.84086,1.19031,0.84724,0.60699,0.7084,0.45351,1.10166,0.8559,1.13291,0.00045953,0.00045953,0.00045953
38,313.108,0.98776,0.83073,1.17942,0.82241,0.61499,0.70675,0.44832,1.13188,0.87715,1.1463,0.000452462,0.000452462,0.000452462
39,321.701,0.98858,0.82424,1.18563,0.79412,0.64399,0.71659,0.45372,1.11492,0.85216,1.14724,0.000445393,0.000445393,0.000445393
40,330.325,0.99071,0.81698,1.18191,0.82154,0.63242,0.71482,0.45882,1.10543,0.83715,1.13035,0.000438325,0.000438325,0.000438325
41,338.912,0.97151,0.80177,1.1703,0.83633,0.63569,0.72304,0.45809,1.1129,0.83238,1.1366,0.000431256,0.000431256,0.000431256
42,347.483,0.97377,0.79994,1.17278,0.82647,0.64272,0.72303,0.4557,1.12293,0.84456,1.14087,0.000424187,0.000424187,0.000424187
43,356.175,0.96538,0.78646,1.16063,0.81741,0.64111,0.72244,0.46251,1.08227,0.81794,1.11896,0.000417119,0.000417119,0.000417119
44,364.973,0.95931,0.78342,1.16553,0.84259,0.63249,0.72463,0.46257,1.10397,0.80711,1.12693,0.00041005,0.00041005,0.00041005
45,373.606,0.9615,0.77652,1.16312,0.81574,0.64472,0.72012,0.46382,1.10449,0.83137,1.13207,0.000402982,0.000402982,0.000402982
46,382.175,0.9524,0.77111,1.15085,0.8112,0.6517,0.72737,0.46928,1.08898,0.80616,1.11689,0.000395913,0.000395913,0.000395913
47,390.868,0.94498,0.76042,1.15437,0.84835,0.63813,0.72389,0.47418,1.07041,0.79574,1.11228,0.000388844,0.000388844,0.000388844
48,400.148,0.932,0.747,1.14028,0.8209,0.64698,0.72767,0.47637,1.07207,0.7933,1.11116,0.000381776,0.000381776,0.000381776
49,408.812,0.93254,0.74599,1.1402,0.83135,0.63764,0.72351,0.47219,1.06496,0.79787,1.09863,0.000374707,0.000374707,0.000374707
50,417.592,0.9303,0.74127,1.14099,0.82376,0.65311,0.73193,0.47879,1.05856,0.778,1.09485,0.000367639,0.000367639,0.000367639
51,426.604,0.92319,0.73397,1.13487,0.85098,0.64263,0.73563,0.48366,1.04817,0.76629,1.09468,0.00036057,0.00036057,0.00036057
52,435.864,0.92289,0.72501,1.13515,0.84477,0.6467,0.73841,0.4811,1.0549,0.77394,1.09836,0.000353501,0.000353501,0.000353501
53,444.252,0.91173,0.71226,1.12695,0.83107,0.65617,0.73557,0.47667,1.06905,0.77929,1.10682,0.000346433,0.000346433,0.000346433
54,452.434,0.91749,0.71704,1.12902,0.81449,0.66459,0.74011,0.47958,1.0562,0.75828,1.09759,0.000339364,0.000339364,0.000339364
55,460.656,0.90898,0.71204,1.12846,0.83113,0.65666,0.74028,0.48563,1.05503,0.75622,1.1016,0.000332296,0.000332296,0.000332296
56,469.052,0.89731,0.70765,1.11845,0.84107,0.6602,0.74191,0.47765,1.06375,0.76917,1.10583,0.000325227,0.000325227,0.000325227
57,477.91,0.89171,0.70085,1.11741,0.85661,0.65124,0.74523,0.48538,1.04783,0.75185,1.09381,0.000318158,0.000318158,0.000318158
58,486.459,0.89608,0.69345,1.11448,0.87674,0.65425,0.74944,0.49865,1.01885,0.73397,1.08131,0.00031109,0.00031109,0.00031109
59,495.188,0.88829,0.68741,1.11516,0.83454,0.6607,0.74389,0.48849,1.04345,0.75699,1.09174,0.000304021,0.000304021,0.000304021
60,503.944,0.88482,0.67655,1.11321,0.82982,0.66869,0.74903,0.49172,1.04104,0.7404,1.09852,0.000296953,0.000296953,0.000296953
61,512.652,0.88095,0.67364,1.10824,0.83245,0.66445,0.74645,0.4879,1.0435,0.74562,1.09145,0.000289884,0.000289884,0.000289884
62,520.997,0.88302,0.67619,1.09999,0.84917,0.66256,0.74991,0.49355,1.03186,0.73451,1.08409,0.000282815,0.000282815,0.000282815
63,529.117,0.86561,0.66537,1.09848,0.84552,0.66571,0.74756,0.49485,1.0271,0.7316,1.08246,0.000275747,0.000275747,0.000275747
64,537.274,0.86482,0.666,1.09798,0.82606,0.68247,0.75548,0.5024,1.00984,0.72596,1.068,0.000268678,0.000268678,0.000268678
65,545.472,0.8569,0.65858,1.09127,0.83396,0.67855,0.75176,0.49786,1.03064,0.7212,1.07567,0.00026161,0.00026161,0.00026161
66,553.664,0.85132,0.6472,1.09198,0.82936,0.68389,0.75582,0.50552,1.0084,0.71955,1.06837,0.000254541,0.000254541,0.000254541
67,561.813,0.8532,0.65401,1.09414,0.85375,0.67199,0.75627,0.5013,1.02585,0.72604,1.07768,0.000247472,0.000247472,0.000247472
68,570.003,0.85585,0.64921,1.08815,0.8493,0.67288,0.7536,0.50171,1.01576,0.72055,1.0687,0.000240404,0.000240404,0.000240404
69,578.266,0.84486,0.63677,1.08462,0.82118,0.68656,0.75555,0.50411,1.0117,0.70423,1.07083,0.000233335,0.000233335,0.000233335
70,586.393,0.83643,0.63216,1.088,0.86802,0.66715,0.75887,0.50466,1.0167,0.70509,1.06802,0.000226267,0.000226267,0.000226267
71,594.443,0.84271,0.6312,1.08088,0.84239,0.68185,0.76152,0.50555,1.01454,0.70339,1.06872,0.000219198,0.000219198,0.000219198
72,602.637,0.83728,0.62904,1.09053,0.88428,0.66381,0.76349,0.51288,1.0024,0.70375,1.06532,0.000212129,0.000212129,0.000212129
73,610.854,0.82454,0.61595,1.0739,0.8505,0.68043,0.76136,0.51028,0.99529,0.70026,1.05863,0.000205061,0.000205061,0.000205061
74,618.659,0.82823,0.62926,1.07874,0.85484,0.67944,0.76214,0.51083,0.99811,0.68997,1.05828,0.000197992,0.000197992,0.000197992
75,626.418,0.82757,0.61859,1.07201,0.85938,0.67119,0.75925,0.50759,1.01275,0.70133,1.07059,0.000190924,0.000190924,0.000190924
76,634.1,0.82006,0.60908,1.07436,0.83936,0.69071,0.76256,0.50992,1.00634,0.69034,1.06016,0.000183855,0.000183855,0.000183855
77,641.908,0.80935,0.60582,1.06394,0.84484,0.6826,0.76257,0.51172,1.00199,0.69458,1.0624,0.000176786,0.000176786,0.000176786
78,649.594,0.80869,0.601,1.06378,0.87132,0.6763,0.76359,0.51453,0.99622,0.68986,1.06382,0.000169718,0.000169718,0.000169718
79,657.372,0.80742,0.60125,1.06417,0.8397,0.69803,0.77048,0.51462,0.9994,0.68213,1.06175,0.000162649,0.000162649,0.000162649
80,665.113,0.80029,0.59517,1.05995,0.87604,0.66809,0.76504,0.51048,1.00276,0.68861,1.06211,0.000155581,0.000155581,0.000155581
81,672.927,0.80377,0.59193,1.05634,0.85711,0.68481,0.76708,0.51226,1.00101,0.68524,1.06134,0.000148512,0.000148512,0.000148512
82,680.75,0.79748,0.59157,1.05729,0.85634,0.68762,0.768,0.51488,0.99535,0.6797,1.05563,0.000141443,0.000141443,0.000141443
83,688.539,0.78961,0.58205,1.05155,0.86067,0.68224,0.76585,0.51522,0.99163,0.67854,1.05466,0.000134375,0.000134375,0.000134375
84,696.384,0.78745,0.57927,1.04915,0.8747,0.6766,0.7691,0.51628,0.9972,0.67271,1.05731,0.000127306,0.000127306,0.000127306
85,704.171,0.78155,0.57492,1.05378,0.85617,0.68911,0.7703,0.51653,0.99405,0.67779,1.05552,0.000120238,0.000120238,0.000120238
86,712.001,0.78026,0.5762,1.05064,0.84711,0.70027,0.77386,0.51924,0.99087,0.66843,1.05557,0.000113169,0.000113169,0.000113169
87,719.815,0.77294,0.56773,1.04773,0.84474,0.69722,0.77075,0.51901,0.98698,0.67084,1.0523,0.0001061,0.0001061,0.0001061
88,728.063,0.77269,0.56369,1.04396,0.83904,0.69637,0.77145,0.51887,0.98442,0.67169,1.05049,9.90318e-05,9.90318e-05,9.90318e-05
89,736.107,0.7731,0.56257,1.04096,0.85561,0.6943,0.77147,0.52089,0.98062,0.66549,1.04906,9.19632e-05,9.19632e-05,9.19632e-05
90,743.983,0.76764,0.56027,1.04041,0.85122,0.70087,0.77363,0.52077,0.98192,0.66747,1.0486,8.48946e-05,8.48946e-05,8.48946e-05
91,752.96,0.75973,0.55656,1.03872,0.83567,0.70294,0.77221,0.51692,0.98995,0.66943,1.05673,7.7826e-05,7.7826e-05,7.7826e-05
92,762.168,0.76141,0.55587,1.03634,0.86811,0.69097,0.77248,0.51902,0.98571,0.6637,1.0529,7.07574e-05,7.07574e-05,7.07574e-05
93,770.834,0.75462,0.5507,1.03146,0.86225,0.69431,0.77383,0.52229,0.98175,0.66053,1.05022,6.36888e-05,6.36888e-05,6.36888e-05
94,779.421,0.74942,0.55061,1.03269,0.85576,0.69426,0.77445,0.52071,0.97886,0.6627,1.04694,5.66202e-05,5.66202e-05,5.66202e-05
95,788.578,0.75659,0.54656,1.03074,0.85997,0.69417,0.77468,0.52109,0.98075,0.66293,1.05181,4.95516e-05,4.95516e-05,4.95516e-05
96,798.315,0.74697,0.54193,1.02567,0.84672,0.70479,0.77459,0.52228,0.98061,0.65918,1.04927,4.2483e-05,4.2483e-05,4.2483e-05
97,807.734,0.74762,0.54625,1.02617,0.87023,0.6855,0.77514,0.5248,0.97275,0.65869,1.04431,3.54144e-05,3.54144e-05,3.54144e-05
98,817.2,0.74914,0.54857,1.02914,0.86276,0.69152,0.77586,0.52452,0.97508,0.65791,1.04549,2.83458e-05,2.83458e-05,2.83458e-05
99,825.386,0.7443,0.54379,1.02858,0.85937,0.69468,0.77644,0.52524,0.97228,0.6529,1.04431,2.12772e-05,2.12772e-05,2.12772e-05
100,833.346,0.74222,0.54299,1.02539,0.85827,0.69568,0.77624,0.52417,0.97449,0.65763,1.04608,1.42086e-05,1.42086e-05,1.42086e-05
