epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38393,1.70528,2.85368,1.77861,0.05757,0.13712,0.03245,0.01156,2.22567,7.2955,2.3875,0.0702128,0.00330969,0.00330969
2,15.8495,1.73865,2.62309,1.82766,0.20905,0.12435,0.05289,0.02035,2.09593,4.66935,2.1448,0.040147,0.00657726,0.00657726
3,22.0375,1.73053,2.542,1.81697,0.24208,0.17402,0.11543,0.0515,1.93306,3.31156,2.05773,0.0100152,0.00977883,0.00977883
4,28.3474,1.66283,2.43667,1.77484,0.2165,0.19121,0.11986,0.05335,1.91587,3.06278,2.00155,0.009703,0.009703,0.009703
5,34.5132,1.61449,2.35974,1.74291,0.32918,0.23701,0.20261,0.09021,1.76991,2.44159,1.73593,0.009604,0.009604,0.009604
6,40.8384,1.58605,2.26836,1.71877,0.46125,0.19896,0.17656,0.07821,1.8913,2.68734,1.85227,0.009505,0.009505,0.009505
7,46.8326,1.57257,2.18731,1.70675,0.40576,0.27169,0.23293,0.10745,1.6794,2.29325,1.73182,0.009406,0.009406,0.009406
8,52.8402,1.53221,2.10699,1.67265,0.41339,0.28787,0.25608,0.11951,1.69986,2.21867,1.72257,0.009307,0.009307,0.009307
9,58.5841,1.50665,2.09991,1.6633,0.40096,0.26159,0.24135,0.119,1.65138,2.31917,1.73405,0.009208,0.009208,0.009208
10,64.2879,1.49287,2.03813,1.65259,0.42326,0.28407,0.26858,0.13429,1.6511,2.18723,1.69146,0.009109,0.009109,0.009109
11,69.9444,1.4946,2.01351,1.64506,0.48346,0.29755,0.29722,0.15558,1.61208,2.17517,1.69476,0.00901,0.00901,0.00901
12,75.6571,1.4666,1.95206,1.62625,0.42204,0.30773,0.2751,0.13379,1.66066,2.16779,1.66683,0.008911,0.008911,0.008911
13,81.5189,1.45941,1.93507,1.62665,0.58204,0.33446,0.36198,0.18293,1.52656,1.90725,1.60869,0.008812,0.008812,0.008812
14,87.4911,1.44873,1.95799,1.6048,0.4897,0.3017,0.30248,0.15938,1.59415,2.13394,1.60933,0.008713,0.008713,0.008713
15,93.5112,1.44822,1.88129,1.60354,0.46493,0.33513,0.33559,0.16435,1.58556,2.07905,1.62856,0.008614,0.008614,0.008614
16,99.5129,1.41806,1.96441,1.58398,0.53284,0.35908,0.37863,0.19622,1.52891,1.85293,1.58539,0.008515,0.008515,0.008515
17,105.209,1.41276,1.81645,1.58424,0.52827,0.30966,0.3189,0.16221,1.61992,2.21531,1.68903,0.008416,0.008416,0.008416
18,110.86,1.41974,1.78612,1.59056,0.53943,0.34893,0.38279,0.20041,1.53798,1.90991,1.58899,0.008317,0.008317,0.008317
19,116.619,1.41312,1.77725,1.57283,0.55079,0.36511,0.39192,0.20143,1.52605,1.88457,1.55893,0.008218,0.008218,0.008218
20,122.317,1.38314,1.72395,1.55041,0.58365,0.36738,0.39978,0.2139,1.51175,1.86215,1.57782,0.008119,0.008119,0.008119
21,128.008,1.39229,1.71236,1.55768,0.55847,0.38811,0.41949,0.22844,1.46116,1.67278,1.50069,0.00802,0.00802,0.00802
22,133.728,1.39634,1.73388,1.55474,0.61794,0.3873,0.42728,0.23231,1.52023,1.74324,1.56844,0.007921,0.007921,0.007921
23,139.432,1.37275,1.6889,1.54531,0.55112,0.38676,0.40856,0.21874,1.5111,1.82744,1.55493,0.007822,0.007822,0.007822
24,145.148,1.38374,1.6726,1.54636,0.62103,0.39812,0.43488,0.23463,1.46846,1.71487,1.51842,0.007723,0.007723,0.007723
25,150.843,1.3911,1.69249,1.55403,0.64161,0.41226,0.45642,0.24801,1.45665,1.63173,1.5276,0.007624,0.007624,0.007624
26,156.524,1.35944,1.64039,1.54342,0.58696,0.38352,0.41573,0.22246,1.48011,1.73069,1.5254,0.007525,0.007525,0.007525
27,162.181,1.36136,1.64685,1.53838,0.65048,0.39646,0.44764,0.23816,1.47388,1.67045,1.52383,0.007426,0.007426,0.007426
28,167.826,1.35816,1.60683,1.53123,0.60302,0.39645,0.43886,0.23792,1.47678,1.66402,1.51832,0.007327,0.007327,0.007327
29,173.448,1.35872,1.60963,1.52754,0.59207,0.41378,0.4431,0.23888,1.51707,1.762,1.58149,0.007228,0.007228,0.007228
30,179.139,1.34427,1.58738,1.5214,0.61302,0.40078,0.44853,0.24558,1.46501,1.6534,1.505,0.007129,0.007129,0.007129
