epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77379,1.46666,2.64469,1.55423,0.36288,0.24623,0.2153,0.1004,1.71212,2.44572,1.63288,0.067234,0.000330969,0.000330969
2,13.1855,1.43656,1.97381,1.546,0.42477,0.2883,0.28025,0.15018,1.56434,2.2178,1.54496,0.0342275,0.000657726,0.000657726
3,19.6478,1.42149,1.79761,1.52208,0.51566,0.34224,0.36298,0.18978,1.58979,1.9796,1.52783,0.00121429,0.000977883,0.000977883
4,25.7989,1.39605,1.69159,1.50955,0.51387,0.4144,0.41023,0.20949,1.58298,1.71607,1.5255,0.0009703,0.0009703,0.0009703
5,31.5768,1.35699,1.60326,1.47708,0.5663,0.41031,0.43284,0.23419,1.46076,1.72397,1.4428,0.0009604,0.0009604,0.0009604
6,37.2736,1.33877,1.53238,1.46496,0.63965,0.46775,0.51421,0.28385,1.38808,1.45426,1.38021,0.0009505,0.0009505,0.0009505
7,43.0157,1.30769,1.47825,1.43998,0.6351,0.43492,0.48573,0.26675,1.46976,1.63387,1.4233,0.0009406,0.0009406,0.0009406
8,48.9147,1.30388,1.42956,1.42502,0.66999,0.47535,0.52834,0.28662,1.40251,1.41382,1.41688,0.0009307,0.0009307,0.0009307
9,54.8693,1.26905,1.37396,1.40795,0.683,0.46973,0.54077,0.30891,1.33404,1.43255,1.36313,0.0009208,0.0009208,0.0009208
10,60.7389,1.25904,1.34438,1.3996,0.69907,0.50852,0.5655,0.3231,1.32612,1.29652,1.35299,0.0009109,0.0009109,0.0009109
11,66.4125,1.23885,1.29953,1.3759,0.68308,0.48918,0.54842,0.30174,1.3803,1.36439,1.36486,0.000901,0.000901,0.000901
12,72.1197,1.23457,1.27368,1.37043,0.68713,0.47362,0.54028,0.31302,1.3567,1.38814,1.35942,0.0008911,0.0008911,0.0008911
13,77.8484,1.21559,1.25125,1.3637,0.74396,0.51431,0.5869,0.33609,1.31378,1.25472,1.30165,0.0008812,0.0008812,0.0008812
14,83.6313,1.20097,1.19695,1.33845,0.70875,0.52811,0.5827,0.33001,1.32872,1.26033,1.32354,0.0008713,0.0008713,0.0008713
15,89.3362,1.19492,1.1776,1.34395,0.76048,0.53008,0.60497,0.34575,1.31813,1.19282,1.31526,0.0008614,0.0008614,0.0008614
16,95.0733,1.19055,1.18706,1.34249,0.74378,0.52208,0.60756,0.3631,1.26835,1.18624,1.28721,0.0008515,0.0008515,0.0008515
17,101.029,1.17411,1.13316,1.32713,0.74133,0.53508,0.60483,0.34882,1.30083,1.19171,1.30435,0.0008416,0.0008416,0.0008416
18,107.024,1.16227,1.1115,1.31693,0.75738,0.54301,0.62334,0.36814,1.27211,1.15534,1.26483,0.0008317,0.0008317,0.0008317
19,113.156,1.15293,1.09317,1.30342,0.73333,0.56113,0.62358,0.35835,1.31873,1.16691,1.31079,0.0008218,0.0008218,0.0008218
20,119.199,1.14043,1.078,1.29981,0.7715,0.5512,0.63226,0.37848,1.23526,1.12789,1.26721,0.0008119,0.0008119,0.0008119
21,125.291,1.13885,1.06415,1.2912,0.77432,0.55212,0.64065,0.37862,1.25167,1.10382,1.27371,0.000802,0.000802,0.000802
22,131.253,1.12572,1.05493,1.29105,0.7796,0.56197,0.64314,0.36654,1.31515,1.12528,1.29055,0.0007921,0.0007921,0.0007921
23,137.221,1.11457,1.02035,1.27395,0.76787,0.58139,0.65987,0.39938,1.21682,1.03836,1.24099,0.0007822,0.0007822,0.0007822
