epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13989,1.38751,2.79836,1.49137,0.51218,0.31487,0.35333,0.16154,1.78048,2.16126,1.745,0.00023654,0.00023654,0.00023654
2,15.8932,1.28314,1.83053,1.43541,0.59799,0.44553,0.47929,0.21697,1.8733,1.84851,1.88285,0.000469842,0.000469842,0.000469842
3,22.6259,1.24521,1.64413,1.40587,0.55968,0.42502,0.45101,0.19132,1.95924,1.83665,1.93132,0.000698432,0.000698432,0.000698432
4,29.156,1.22528,1.56328,1.37817,0.68434,0.46559,0.52509,0.23618,1.87368,1.67744,1.88098,0.000692794,0.000692794,0.000692794
5,35.6993,1.19716,1.4781,1.35435,0.63879,0.50244,0.55036,0.25594,1.82661,1.66546,1.76708,0.000685726,0.000685726,0.000685726
6,42.3653,1.19325,1.43363,1.34422,0.64572,0.50183,0.542,0.24848,1.77331,1.55992,1.72519,0.000678657,0.000678657,0.000678657
7,49.2016,1.15835,1.37017,1.32756,0.70846,0.52034,0.56361,0.26651,1.75883,1.50317,1.7219,0.000671588,0.000671588,0.000671588
8,55.6852,1.15483,1.34412,1.32661,0.68,0.54875,0.58722,0.28969,1.69828,1.45532,1.70998,0.00066452,0.00066452,0.00066452
9,62.4043,1.12793,1.28873,1.30486,0.78361,0.55322,0.62484,0.3142,1.72279,1.39316,1.73486,0.000657451,0.000657451,0.000657451
10,69.2853,1.11845,1.25205,1.29361,0.77383,0.54059,0.62802,0.30468,1.76748,1.36185,1.73274,0.000650383,0.000650383,0.000650383
11,75.7595,1.09871,1.21436,1.283,0.78396,0.58208,0.64971,0.30828,1.73406,1.35772,1.70987,0.000643314,0.000643314,0.000643314
12,82.3509,1.09266,1.19172,1.27634,0.77933,0.55175,0.61934,0.32919,1.63172,1.31783,1.62172,0.000636245,0.000636245,0.000636245
13,88.9833,1.08975,1.17705,1.26892,0.74728,0.59583,0.65128,0.32156,1.72304,1.29523,1.7264,0.000629177,0.000629177,0.000629177
