epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1449,1.39134,2.78171,1.49898,0.54078,0.37491,0.39467,0.17451,1.86766,2.05174,1.86361,0.00023727,0.00023727,0.00023727
2,22.1905,1.31842,1.87652,1.46002,0.59346,0.4466,0.47483,0.21282,1.87219,1.82781,1.82024,0.000470565,0.000470565,0.000470565
3,31.5786,1.27699,1.70862,1.42472,0.70346,0.48749,0.5434,0.25137,1.81162,1.56423,1.86093,0.000699147,0.000699147,0.000699147
4,40.8414,1.24737,1.61416,1.3995,0.61436,0.50933,0.51684,0.21061,1.95627,1.63801,1.95081,0.000692794,0.000692794,0.000692794
5,50.093,1.22653,1.54319,1.37764,0.69106,0.5198,0.57218,0.26957,1.79676,1.56875,1.80279,0.000685726,0.000685726,0.000685726
6,59.2996,1.19112,1.46269,1.35695,0.69978,0.5337,0.58489,0.27279,1.82589,1.47269,1.87464,0.000678657,0.000678657,0.000678657
7,68.6154,1.17527,1.41583,1.33983,0.73175,0.51676,0.58084,0.25237,1.90085,1.45222,1.95023,0.000671588,0.000671588,0.000671588
8,77.6109,1.16195,1.37814,1.33693,0.76399,0.52716,0.59801,0.28263,1.71226,1.37311,1.72334,0.00066452,0.00066452,0.00066452
9,86.9346,1.15072,1.3394,1.32458,0.787,0.55307,0.61172,0.28766,1.79226,1.37285,1.75412,0.000657451,0.000657451,0.000657451
10,96.1949,1.13971,1.29848,1.30986,0.7546,0.57674,0.64021,0.29714,1.80168,1.39362,1.78558,0.000650383,0.000650383,0.000650383
11,105.494,1.12503,1.28095,1.30542,0.76409,0.56675,0.64167,0.30512,1.67063,1.38892,1.67659,0.000643314,0.000643314,0.000643314
12,114.71,1.11624,1.25456,1.29555,0.78253,0.59165,0.65707,0.31285,1.71289,1.25561,1.77393,0.000636245,0.000636245,0.000636245
13,123.9,1.09391,1.21292,1.28997,0.79866,0.59957,0.65027,0.31134,1.7669,1.31051,1.74908,0.000629177,0.000629177,0.000629177
14,133.323,1.0976,1.19936,1.28241,0.78954,0.58773,0.66069,0.33425,1.65158,1.22817,1.66146,0.000622108,0.000622108,0.000622108
15,142.501,1.08682,1.17645,1.27152,0.7566,0.60994,0.66548,0.34176,1.69193,1.20625,1.68522,0.00061504,0.00061504,0.00061504
16,151.831,1.07178,1.15506,1.26194,0.77409,0.62967,0.67476,0.3383,1.71266,1.21205,1.7137,0.000607971,0.000607971,0.000607971
17,161.068,1.07823,1.15852,1.26429,0.78827,0.60583,0.67315,0.32697,1.69118,1.20813,1.71208,0.000600902,0.000600902,0.000600902
18,170.396,1.06713,1.11823,1.25546,0.77962,0.6334,0.67587,0.35409,1.64733,1.19634,1.64185,0.000593834,0.000593834,0.000593834
19,179.723,1.05782,1.0976,1.24457,0.80776,0.62222,0.68699,0.34172,1.68513,1.14949,1.70277,0.000586765,0.000586765,0.000586765
20,189.016,1.04953,1.08466,1.24499,0.79689,0.63078,0.69588,0.34793,1.69676,1.12311,1.72527,0.000579697,0.000579697,0.000579697
21,198.284,1.04794,1.07618,1.244,0.78305,0.60786,0.67577,0.34409,1.72183,1.15155,1.71863,0.000572628,0.000572628,0.000572628
22,207.675,1.03944,1.06394,1.23751,0.81209,0.63513,0.6987,0.36476,1.61088,1.08592,1.61431,0.000565559,0.000565559,0.000565559
23,216.961,1.03741,1.06676,1.23991,0.8416,0.64246,0.70524,0.38632,1.57084,1.07877,1.59022,0.000558491,0.000558491,0.000558491
24,226.114,1.02827,1.03606,1.22173,0.8458,0.65347,0.7159,0.38273,1.58313,1.08458,1.6019,0.000551422,0.000551422,0.000551422
25,235.363,1.02179,1.03099,1.2262,0.80257,0.63228,0.70461,0.37041,1.56627,1.08549,1.60627,0.000544354,0.000544354,0.000544354
26,244.802,1.02275,1.01804,1.22435,0.86318,0.62822,0.7057,0.38357,1.57026,1.08719,1.60022,0.000537285,0.000537285,0.000537285
27,254.099,1.01635,1.0174,1.21854,0.84928,0.63588,0.70671,0.38306,1.54565,1.09927,1.57048,0.000530216,0.000530216,0.000530216
28,263.259,1.00905,1.00132,1.2142,0.80513,0.65368,0.71036,0.39628,1.53638,1.07574,1.57069,0.000523148,0.000523148,0.000523148
29,272.331,1.01242,1.00258,1.21395,0.85659,0.60452,0.69776,0.36196,1.62174,1.05506,1.61272,0.000516079,0.000516079,0.000516079
30,281.538,0.99104,0.9743,1.20113,0.82686,0.63691,0.71397,0.39966,1.46945,1.01365,1.49428,0.000509011,0.000509011,0.000509011
31,290.863,0.9985,0.97081,1.20321,0.77398,0.65493,0.71119,0.39,1.50321,1.04131,1.55154,0.000501942,0.000501942,0.000501942
32,300.093,0.99025,0.9594,1.20188,0.83055,0.66407,0.71777,0.39086,1.51767,1.06054,1.53692,0.000494873,0.000494873,0.000494873
33,309.313,0.98643,0.94353,1.19707,0.79253,0.66554,0.72485,0.38697,1.52627,0.99392,1.57516,0.000487805,0.000487805,0.000487805
34,318.372,0.9821,0.94085,1.19336,0.83534,0.66031,0.73058,0.40643,1.4806,1.00785,1.52045,0.000480736,0.000480736,0.000480736
35,327.569,0.98023,0.93718,1.19415,0.8665,0.63787,0.72346,0.39141,1.51735,1.07706,1.54717,0.000473668,0.000473668,0.000473668
36,336.777,0.97348,0.91626,1.18488,0.77358,0.65891,0.72206,0.40549,1.49127,1.00016,1.53984,0.000466599,0.000466599,0.000466599
37,346.039,0.96284,0.9162,1.18431,0.86038,0.66916,0.73656,0.40947,1.51631,1.01361,1.56478,0.00045953,0.00045953,0.00045953
38,355.29,0.9588,0.90204,1.17886,0.8517,0.68975,0.7435,0.41277,1.50439,0.95233,1.54188,0.000452462,0.000452462,0.000452462
39,364.633,0.96066,0.90391,1.17673,0.82342,0.65996,0.73161,0.41847,1.45952,0.9719,1.5169,0.000445393,0.000445393,0.000445393
40,373.797,0.95236,0.89499,1.17187,0.84948,0.68107,0.74979,0.435,1.42384,0.93876,1.47562,0.000438325,0.000438325,0.000438325
41,383.01,0.94684,0.88282,1.16548,0.86955,0.66718,0.74723,0.40815,1.50801,0.94282,1.56333,0.000431256,0.000431256,0.000431256
42,392.303,0.93839,0.88283,1.16747,0.8402,0.66582,0.74007,0.40869,1.45908,0.99019,1.52868,0.000424187,0.000424187,0.000424187
43,401.305,0.947,0.8755,1.1682,0.84667,0.67052,0.73784,0.39791,1.54621,1.03109,1.63678,0.000417119,0.000417119,0.000417119
44,410.332,0.9372,0.86529,1.16049,0.87991,0.67411,0.74634,0.41658,1.48973,0.91817,1.55301,0.00041005,0.00041005,0.00041005
45,419.338,0.93393,0.85435,1.15828,0.8312,0.67411,0.74608,0.42387,1.44293,0.98018,1.51583,0.000402982,0.000402982,0.000402982
46,428.321,0.93447,0.86107,1.16168,0.84589,0.68982,0.75474,0.42508,1.46982,0.94118,1.52554,0.000395913,0.000395913,0.000395913
47,437.306,0.92344,0.85439,1.15752,0.87335,0.64546,0.73666,0.4126,1.46113,0.93548,1.51628,0.000388844,0.000388844,0.000388844
48,446.345,0.92681,0.85133,1.15506,0.84616,0.66271,0.74443,0.43122,1.40072,0.92145,1.46709,0.000381776,0.000381776,0.000381776
49,455.41,0.91638,0.83984,1.14913,0.89106,0.67251,0.76477,0.43687,1.38526,0.88352,1.47034,0.000374707,0.000374707,0.000374707
50,464.428,0.9188,0.83964,1.15007,0.85346,0.67567,0.76223,0.43775,1.41168,0.88859,1.4703,0.000367639,0.000367639,0.000367639
51,473.449,0.91056,0.8161,1.14483,0.86951,0.67914,0.75866,0.42713,1.39142,0.88923,1.47528,0.00036057,0.00036057,0.00036057
52,482.429,0.92207,0.83276,1.1526,0.83203,0.68064,0.75313,0.43902,1.38061,0.88683,1.44262,0.000353501,0.000353501,0.000353501
53,491.475,0.91199,0.82538,1.14779,0.85012,0.70481,0.77704,0.45036,1.40466,0.88737,1.47056,0.000346433,0.000346433,0.000346433
54,500.514,0.90671,0.81488,1.14062,0.88014,0.68525,0.76245,0.43329,1.43127,0.89419,1.49462,0.000339364,0.000339364,0.000339364
55,509.446,0.90797,0.81198,1.14173,0.86217,0.68198,0.76002,0.4501,1.3659,0.89288,1.44138,0.000332296,0.000332296,0.000332296
56,518.462,0.89982,0.80635,1.13662,0.83444,0.70204,0.75855,0.44535,1.42947,0.87798,1.47238,0.000325227,0.000325227,0.000325227
57,527.473,0.88963,0.79961,1.13634,0.87772,0.68226,0.76381,0.43006,1.43084,0.88944,1.48885,0.000318158,0.000318158,0.000318158
58,536.507,0.89074,0.79109,1.13033,0.85723,0.69864,0.76363,0.43903,1.38494,0.91376,1.44233,0.00031109,0.00031109,0.00031109
59,545.548,0.88741,0.80058,1.13626,0.86431,0.68511,0.75957,0.4423,1.4328,0.90522,1.51255,0.000304021,0.000304021,0.000304021
60,554.545,0.88244,0.78497,1.12997,0.85496,0.70925,0.77124,0.44745,1.41785,0.89302,1.48432,0.000296953,0.000296953,0.000296953
61,563.628,0.87653,0.78146,1.12646,0.85024,0.70659,0.77596,0.45349,1.39481,0.84443,1.47615,0.000289884,0.000289884,0.000289884
62,572.611,0.87982,0.77887,1.12742,0.89497,0.68591,0.77792,0.46561,1.32799,0.87332,1.42793,0.000282815,0.000282815,0.000282815
63,581.605,0.87072,0.77323,1.12032,0.85183,0.7001,0.76933,0.45682,1.38891,0.85361,1.47164,0.000275747,0.000275747,0.000275747
64,590.606,0.87451,0.76972,1.12384,0.86756,0.68873,0.77858,0.4716,1.31751,0.85441,1.41611,0.000268678,0.000268678,0.000268678
65,599.688,0.86522,0.76567,1.12022,0.8571,0.6916,0.76833,0.46223,1.34045,0.87021,1.43112,0.00026161,0.00026161,0.00026161
66,608.713,0.87102,0.76522,1.11788,0.85649,0.69357,0.77315,0.45734,1.35966,0.85718,1.42964,0.000254541,0.000254541,0.000254541
67,617.718,0.87085,0.76579,1.11841,0.87059,0.68671,0.77643,0.45394,1.37805,0.86928,1.45183,0.000247472,0.000247472,0.000247472
68,626.735,0.86628,0.75481,1.11673,0.89025,0.68156,0.77344,0.47246,1.31922,0.84946,1.41875,0.000240404,0.000240404,0.000240404
69,635.718,0.86639,0.75957,1.11296,0.88936,0.7111,0.79407,0.47314,1.35028,0.85005,1.42749,0.000233335,0.000233335,0.000233335
70,644.697,0.85581,0.73974,1.10721,0.86421,0.72236,0.78207,0.47112,1.28343,0.83633,1.38284,0.000226267,0.000226267,0.000226267
71,653.757,0.86052,0.74217,1.11089,0.85101,0.7135,0.78503,0.468,1.31316,0.8469,1.42496,0.000219198,0.000219198,0.000219198
