epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75872,1.38073,2.86075,1.48487,0.40094,0.41117,0.35054,0.1626,1.75597,2.03504,1.73849,0.00023654,0.00023654,0.00023654
2,14.887,1.28994,1.84089,1.43946,0.54899,0.4484,0.46111,0.20528,1.8763,1.86038,1.8327,0.000469842,0.000469842,0.000469842
3,21.77,1.24479,1.64504,1.40621,0.5746,0.41112,0.45707,0.20017,1.95176,1.9846,1.9279,0.000698432,0.000698432,0.000698432
4,28.5909,1.22687,1.5692,1.38395,0.60129,0.52065,0.53457,0.2272,1.931,1.67191,1.97835,0.000692794,0.000692794,0.000692794
5,35.415,1.19395,1.46905,1.35123,0.62984,0.53194,0.54915,0.25577,1.80473,1.58677,1.81064,0.000685726,0.000685726,0.000685726
6,42.2389,1.19552,1.43932,1.34324,0.67676,0.52231,0.56916,0.26518,1.79307,1.50943,1.75573,0.000678657,0.000678657,0.000678657
7,49.1003,1.15987,1.36946,1.3252,0.72702,0.54747,0.61008,0.27375,1.86336,1.46156,1.8099,0.000671588,0.000671588,0.000671588
8,55.89,1.1576,1.34975,1.32636,0.75809,0.51721,0.58747,0.27526,1.77114,1.51608,1.75729,0.00066452,0.00066452,0.00066452
9,62.7232,1.1249,1.28403,1.30242,0.8038,0.5586,0.6298,0.30464,1.71575,1.34418,1.67233,0.000657451,0.000657451,0.000657451
10,69.5975,1.11473,1.24043,1.28755,0.72004,0.58265,0.62866,0.28655,1.77119,1.34285,1.76541,0.000650383,0.000650383,0.000650383
11,76.3632,1.09947,1.22197,1.28405,0.73816,0.6226,0.64502,0.31324,1.74923,1.3692,1.73538,0.000643314,0.000643314,0.000643314
12,83.188,1.09555,1.18544,1.27701,0.75197,0.57622,0.628,0.32099,1.66562,1.28042,1.66157,0.000636245,0.000636245,0.000636245
