epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44849,1.38514,2.87653,1.49621,0.47709,0.35436,0.34165,0.14675,1.83205,2.10968,1.84623,0.00023654,0.00023654,0.00023654
2,15.236,1.28791,1.84467,1.44237,0.5479,0.4423,0.44958,0.19455,1.94894,1.82312,1.93698,0.000469842,0.000469842,0.000469842
3,21.9393,1.25015,1.64857,1.41173,0.52664,0.45911,0.47823,0.20104,1.89245,1.82872,1.85905,0.000698432,0.000698432,0.000698432
4,28.6919,1.23196,1.5646,1.38872,0.58626,0.49132,0.51332,0.22511,1.86566,1.67184,1.86884,0.000692794,0.000692794,0.000692794
5,35.5578,1.1954,1.48023,1.36024,0.71979,0.52144,0.58807,0.28001,1.84262,1.63768,1.80171,0.000685726,0.000685726,0.000685726
6,42.3094,1.19635,1.44499,1.34928,0.70287,0.52189,0.56455,0.25248,1.77914,1.56953,1.76571,0.000678657,0.000678657,0.000678657
7,49.0863,1.15737,1.37228,1.33318,0.71087,0.54659,0.57988,0.26847,1.86731,1.46479,1.8192,0.000671588,0.000671588,0.000671588
8,55.5517,1.15318,1.34687,1.33328,0.71488,0.54831,0.58707,0.28942,1.72758,1.43564,1.70943,0.00066452,0.00066452,0.00066452
9,61.9793,1.13049,1.28328,1.30965,0.72691,0.55553,0.60273,0.28488,1.7511,1.42654,1.77964,0.000657451,0.000657451,0.000657451
10,68.4204,1.11643,1.24413,1.2938,0.77021,0.56502,0.62367,0.29463,1.75481,1.36563,1.73376,0.000650383,0.000650383,0.000650383
11,75.2859,1.09866,1.20855,1.28421,0.78303,0.59918,0.65064,0.31511,1.70897,1.34172,1.69267,0.000643314,0.000643314,0.000643314
12,82.2126,1.09369,1.17659,1.2777,0.78676,0.52306,0.60564,0.32451,1.62951,1.36171,1.65165,0.000636245,0.000636245,0.000636245
13,89.0773,1.09096,1.17119,1.26915,0.79203,0.57057,0.64471,0.31349,1.69986,1.32261,1.68862,0.000629177,0.000629177,0.000629177
14,95.9582,1.07459,1.14396,1.26093,0.75967,0.60577,0.6572,0.31904,1.76995,1.2801,1.76956,0.000622108,0.000622108,0.000622108
15,102.866,1.07357,1.12153,1.25663,0.68015,0.62019,0.64588,0.32591,1.69109,1.28765,1.69474,0.00061504,0.00061504,0.00061504
16,109.738,1.05379,1.09444,1.24524,0.78061,0.59993,0.65903,0.31584,1.73772,1.2569,1.74721,0.000607971,0.000607971,0.000607971
17,116.644,1.04393,1.09245,1.24204,0.77837,0.59912,0.66492,0.34431,1.61472,1.25561,1.63218,0.000600902,0.000600902,0.000600902
18,123.534,1.0503,1.0766,1.24573,0.81498,0.56993,0.66875,0.36225,1.62517,1.18039,1.63976,0.000593834,0.000593834,0.000593834
19,130.434,1.05415,1.0585,1.23473,0.80645,0.66076,0.71142,0.36497,1.56403,1.14146,1.60089,0.000586765,0.000586765,0.000586765
20,137.316,1.03422,1.04084,1.23144,0.82839,0.62075,0.69816,0.3715,1.63807,1.13969,1.64482,0.000579697,0.000579697,0.000579697
21,144.24,1.02463,1.0308,1.22467,0.78753,0.61562,0.66594,0.33422,1.73786,1.19587,1.70095,0.000572628,0.000572628,0.000572628
22,151.187,1.02485,1.01312,1.21889,0.82066,0.63689,0.69752,0.35176,1.66901,1.13229,1.68552,0.000565559,0.000565559,0.000565559
23,158.031,1.01413,1.00327,1.21881,0.8135,0.62511,0.69659,0.36598,1.61772,1.1107,1.59294,0.000558491,0.000558491,0.000558491
24,164.921,1.00634,0.99309,1.20735,0.8003,0.62583,0.69625,0.36738,1.65633,1.12366,1.65941,0.000551422,0.000551422,0.000551422
25,171.76,0.9999,0.97657,1.20509,0.80235,0.6544,0.71188,0.37637,1.60403,1.07554,1.59785,0.000544354,0.000544354,0.000544354
26,178.643,0.99312,0.96957,1.19855,0.83931,0.61038,0.69993,0.36738,1.60115,1.06754,1.61757,0.000537285,0.000537285,0.000537285
27,185.433,0.99473,0.97075,1.20565,0.7858,0.67061,0.72057,0.39206,1.52437,1.04555,1.54546,0.000530216,0.000530216,0.000530216
28,192.329,0.99606,0.95035,1.19724,0.84562,0.65031,0.72865,0.38562,1.57236,1.04232,1.56084,0.000523148,0.000523148,0.000523148
29,199.15,0.98587,0.94391,1.19226,0.82235,0.64613,0.72254,0.41152,1.49581,1.02021,1.514,0.000516079,0.000516079,0.000516079
