epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76775,1.42795,2.74897,1.52219,0.42882,0.41425,0.39,0.18387,1.816,1.96592,1.74115,0.00023654,0.00023654,0.00023654
2,16.456,1.36422,1.87451,1.48164,0.53842,0.44905,0.44027,0.20095,1.84206,1.80579,1.76402,0.000469842,0.000469842,0.000469842
3,22.9595,1.34327,1.72291,1.46166,0.53877,0.44917,0.46509,0.20007,1.92822,1.86647,1.84021,0.000698432,0.000698432,0.000698432
4,29.5139,1.31802,1.63628,1.43853,0.69559,0.49076,0.53909,0.25532,1.81017,1.57472,1.7356,0.000692794,0.000692794,0.000692794
5,35.986,1.29364,1.52966,1.40908,0.71799,0.53653,0.58833,0.27487,1.832,1.5265,1.76162,0.000685726,0.000685726,0.000685726
6,42.3216,1.26225,1.47264,1.3962,0.65659,0.5422,0.57641,0.26499,1.8329,1.51077,1.74521,0.000678657,0.000678657,0.000678657
7,48.9231,1.24361,1.40276,1.37768,0.71963,0.54215,0.60275,0.2949,1.71129,1.44362,1.72926,0.000671588,0.000671588,0.000671588
8,55.5155,1.22073,1.33448,1.35871,0.73845,0.55532,0.61013,0.28275,1.87185,1.47284,1.7748,0.00066452,0.00066452,0.00066452
9,62.0887,1.20606,1.27992,1.34309,0.68852,0.58675,0.61833,0.2984,1.74844,1.38256,1.68337,0.000657451,0.000657451,0.000657451
10,68.5143,1.18931,1.24275,1.32949,0.73916,0.58529,0.6548,0.317,1.70378,1.29108,1.65821,0.000650383,0.000650383,0.000650383
11,74.9665,1.17808,1.19957,1.31901,0.74634,0.54545,0.61804,0.29501,1.7449,1.40882,1.73566,0.000643314,0.000643314,0.000643314
12,81.3054,1.16826,1.18004,1.31031,0.79139,0.57327,0.64947,0.32123,1.69608,1.25767,1.64156,0.000636245,0.000636245,0.000636245
13,87.6731,1.15817,1.14246,1.30255,0.71819,0.58937,0.64137,0.33647,1.63413,1.28283,1.58804,0.000629177,0.000629177,0.000629177
14,94.0421,1.14164,1.11752,1.2918,0.69661,0.57961,0.62913,0.32181,1.6813,1.26231,1.60892,0.000622108,0.000622108,0.000622108
15,100.345,1.13015,1.09237,1.28241,0.77676,0.59662,0.66505,0.34283,1.68582,1.22671,1.63212,0.00061504,0.00061504,0.00061504
16,106.685,1.12014,1.06391,1.27512,0.79536,0.59807,0.68119,0.3539,1.62687,1.18142,1.59978,0.000607971,0.000607971,0.000607971
17,113.139,1.10909,1.04913,1.26595,0.81119,0.6257,0.69599,0.35264,1.68977,1.14557,1.69188,0.000600902,0.000600902,0.000600902
18,119.436,1.10159,1.0169,1.26087,0.79752,0.61896,0.69744,0.36682,1.57083,1.12628,1.56441,0.000593834,0.000593834,0.000593834
19,125.781,1.08706,0.99302,1.24887,0.82135,0.62294,0.68989,0.36408,1.56877,1.13168,1.56144,0.000586765,0.000586765,0.000586765
20,132.091,1.08104,0.98155,1.24261,0.77449,0.60944,0.68396,0.35168,1.64783,1.1573,1.62603,0.000579697,0.000579697,0.000579697
21,138.429,1.06852,0.96669,1.23467,0.83596,0.64347,0.71482,0.38577,1.5607,1.07064,1.54159,0.000572628,0.000572628,0.000572628
22,144.816,1.06763,0.95052,1.23737,0.80964,0.62382,0.70335,0.37228,1.61199,1.0939,1.56231,0.000565559,0.000565559,0.000565559
23,151.123,1.05333,0.93865,1.22859,0.83785,0.64064,0.72305,0.36689,1.68429,1.09379,1.62944,0.000558491,0.000558491,0.000558491
24,157.461,1.04469,0.92103,1.21669,0.84233,0.63276,0.70629,0.37616,1.56972,1.07503,1.58261,0.000551422,0.000551422,0.000551422
25,163.812,1.04265,0.90107,1.21437,0.83031,0.62035,0.70311,0.36194,1.6588,1.13669,1.62836,0.000544354,0.000544354,0.000544354
26,170.129,1.03338,0.89141,1.21358,0.81908,0.62779,0.70451,0.37063,1.61887,1.10436,1.61563,0.000537285,0.000537285,0.000537285
27,176.504,1.02838,0.88099,1.20462,0.86154,0.64382,0.72881,0.40624,1.50763,1.04449,1.50626,0.000530216,0.000530216,0.000530216
28,182.881,1.01913,0.86554,1.20045,0.83426,0.68552,0.74178,0.41088,1.48267,0.9714,1.47949,0.000523148,0.000523148,0.000523148
29,189.258,1.00472,0.85572,1.18881,0.7936,0.6622,0.73005,0.42899,1.44509,0.99827,1.47607,0.000516079,0.000516079,0.000516079
30,195.658,1.00539,0.84628,1.18999,0.80191,0.64955,0.72623,0.39772,1.55375,1.04745,1.56452,0.000509011,0.000509011,0.000509011
31,202,1.00186,0.84662,1.18708,0.82965,0.65354,0.72239,0.39828,1.55072,1.00936,1.5527,0.000501942,0.000501942,0.000501942
32,208.322,0.98495,0.81905,1.17822,0.82419,0.68193,0.75046,0.41408,1.51332,0.97131,1.53757,0.000494873,0.000494873,0.000494873
33,214.663,0.98516,0.80807,1.17258,0.78278,0.68541,0.73701,0.38753,1.64166,0.99228,1.60887,0.000487805,0.000487805,0.000487805
34,220.988,0.9733,0.79797,1.16953,0.78641,0.70676,0.74817,0.4141,1.51048,0.97079,1.48945,0.000480736,0.000480736,0.000480736
35,227.329,0.97084,0.80067,1.16575,0.81839,0.65064,0.73601,0.41926,1.46567,0.95119,1.49592,0.000473668,0.000473668,0.000473668
36,233.953,0.96424,0.7857,1.16061,0.82705,0.67185,0.73727,0.41448,1.50904,0.95564,1.51769,0.000466599,0.000466599,0.000466599
37,240.275,0.95107,0.766,1.15202,0.83769,0.67706,0.7401,0.41592,1.56455,0.92018,1.54958,0.00045953,0.00045953,0.00045953
38,246.637,0.94859,0.77218,1.15157,0.80031,0.67597,0.74299,0.43651,1.43689,0.91745,1.44937,0.000452462,0.000452462,0.000452462
39,253.507,0.9461,0.75575,1.14726,0.87124,0.662,0.7512,0.40038,1.62064,0.96434,1.59497,0.000445393,0.000445393,0.000445393
40,259.841,0.94301,0.75161,1.14407,0.90275,0.66648,0.76711,0.45187,1.38045,0.88711,1.41569,0.000438325,0.000438325,0.000438325
41,266.202,0.93852,0.74852,1.14255,0.84097,0.69466,0.75849,0.4322,1.51177,0.86806,1.51782,0.000431256,0.000431256,0.000431256
42,272.546,0.93338,0.73591,1.13939,0.85915,0.68214,0.77488,0.43897,1.44256,0.87814,1.45136,0.000424187,0.000424187,0.000424187
